iter	RMSE
0	24.72299852
1	23.29804249
2	22.03276988
3	20.66465576
4	19.33547884
5	18.22066474
6	17.15072439
7	16.17781312
8	15.3797074
9	14.61809712
10	13.89932499
11	13.25855972
12	12.66434276
13	12.09812933
14	11.60538002
15	11.11872095
16	10.62967186
17	10.17743508
18	9.797765818
19	9.458546566
20	9.151460887
21	8.817612799
22	8.459146149
23	8.197513659
24	7.909655008
25	7.664303448
26	7.354565088
27	7.097596894
28	6.894644443
29	6.705472932
30	6.50776487
31	6.325524594
32	6.119345636
33	5.973536579
34	5.788916521
35	5.625745564
36	5.468617992
37	5.360356725
38	5.247199266
39	5.137518841
40	5.004680676
41	4.909889729
42	4.796018112
43	4.684419623
44	4.599354412
45	4.500436774
46	4.383930531
47	4.295475918
48	4.215984784
49	4.148085143
50	4.07287189
51	3.994716935
52	3.933103837
53	3.852358527
54	3.772576176
55	3.722578888
56	3.66684713
57	3.591763899
58	3.533700791
59	3.474421171
60	3.410673664
61	3.357582131
62	3.304551094
63	3.250699189
64	3.204311515
65	3.172326566
66	3.133836821
67	3.088373779
68	3.035392008
69	2.975318611
70	2.927798449
71	2.883518248
72	2.849726845
73	2.805814544
74	2.754206318
75	2.723004671
76	2.688756428
77	2.645543096
78	2.616014127
79	2.573220093
80	2.536508916
81	2.501199289
82	2.47554007
83	2.437405166
84	2.408527533
85	2.368472578
86	2.348017552
87	2.325501887
88	2.289235708
89	2.277244432
90	2.249420101
91	2.220011571
92	2.19174282
93	2.165566395
94	2.133732237
95	2.099056355
96	2.067696748
97	2.038546964
98	2.009345489
99	1.979405995
100	1.963969753
101	1.925402253
102	1.895507331
103	1.876096951
104	1.858261491
105	1.838784307
106	1.828061411
107	1.810643272
108	1.802070009
109	1.785233175
110	1.778562702
111	1.768124321
112	1.756569335
113	1.751391883
114	1.735272091
115	1.709128708
116	1.700274952
117	1.676011767
118	1.652042778
119	1.636308462
120	1.624426955
121	1.599009789
122	1.585347626
123	1.566074461
124	1.546975172
125	1.527715073
126	1.519158534
127	1.506602388
128	1.489879954
129	1.471656082
130	1.453144413
131	1.43549817
132	1.420987306
133	1.407562982
134	1.393472681
135	1.376328837
136	1.357545472
137	1.350403755
138	1.332477594
139	1.322890835
140	1.312463065
141	1.303166329
142	1.28851723
143	1.274561899
144	1.269304753
145	1.264606025
146	1.258879633
147	1.242624299
148	1.237483281
149	1.226170952
150	1.205344144
151	1.197046683
152	1.177425023
153	1.163212792
154	1.151418573
155	1.137743109
156	1.122132858
157	1.109520405
158	1.104054477
159	1.087358226
160	1.073321252
161	1.060954611
162	1.050533644
163	1.04287204
164	1.038487721
165	1.029797208
166	1.015828549
167	1.009085708
168	0.9967768817
169	0.9851771958
170	0.9804263403
171	0.9701971966
172	0.9595822386
173	0.9539264029
174	0.9456064606
175	0.9334367391
176	0.9265940408
177	0.9178854083
178	0.9097846971
179	0.9018371902
180	0.8922226799
181	0.8844688816
182	0.8734908461
183	0.8647857715
184	0.8610205345
185	0.8523072358
186	0.8454589103
187	0.8369542931
188	0.8225482632
189	0.8177210435
190	0.8146223506
191	0.8041490594
192	0.7975719782
193	0.7925020797
194	0.7859658711
195	0.7772255159
196	0.7675130362
197	0.7614252411
198	0.7536697854
199	0.7501375753
200	0.743176092
201	0.7361149159
202	0.7312936111
203	0.7227976201
204	0.7156403765
205	0.7107618312
206	0.703330046
207	0.6972800341
208	0.6942205105
209	0.6867638761
210	0.6846344296
211	0.6792695884
212	0.6765832863
213	0.6717549592
214	0.6633872268
215	0.656426093
216	0.6520775408
217	0.6448197885
218	0.6406051089
219	0.6357874924
220	0.6324843331
221	0.6273744577
222	0.6206326095
223	0.6123455373
224	0.6066287435
225	0.6005792225
226	0.5978820695
227	0.5915432028
228	0.5873275365
229	0.5807284836
230	0.5771869569
231	0.5715788124
232	0.5662616439
233	0.560666275
234	0.5537400745
235	0.5479998513
236	0.5418453353
237	0.5368728845
238	0.5321019503
239	0.5271987972
240	0.5244011751
241	0.5211050057
242	0.5170305017
243	0.5126378998
244	0.5090709972
245	0.5035271827
246	0.4982304969
247	0.4922875432
248	0.4874267179
249	0.4826002809
250	0.4786725744
251	0.474400291
252	0.4712747742
253	0.4656556113
254	0.4608687513
255	0.4570903019
256	0.450890123
257	0.4485583856
258	0.4455938775
259	0.4410273941
260	0.4359652458
261	0.4317634675
262	0.427116473
263	0.4230675777
264	0.4197655435
265	0.4168849691
266	0.4131648962
267	0.4079659811
268	0.4034975768
269	0.4008967069
270	0.3964573017
271	0.3930722474
272	0.3909530184
273	0.3866520905
274	0.3851940612
275	0.3796114153
276	0.3748384748
277	0.3724456628
278	0.3691798265
279	0.36535187
280	0.3614438268
281	0.3578448033
282	0.3541060332
283	0.3512541323
284	0.3500643148
285	0.3458527257
286	0.341618012
287	0.3387324341
288	0.3375642805
289	0.3348340079
290	0.3320272267
291	0.3309773217
292	0.3275681062
293	0.3254152765
294	0.3215241437
295	0.3195689499
296	0.3161920494
297	0.3126730151
298	0.3099421133
299	0.3064611854
