iter	Passed	Remaining
0	8	2397
1	17	2617
2	25	2559
3	32	2432
4	40	2389
5	49	2420
6	57	2419
7	64	2358
8	71	2313
9	77	2259
10	83	2205
11	90	2183
12	97	2144
13	104	2134
14	111	2123
15	118	2099
16	124	2069
17	130	2037
18	136	2014
19	141	1987
20	148	1967
21	154	1946
22	160	1931
23	166	1912
24	172	1893
25	178	1881
26	184	1865
27	190	1847
28	195	1829
29	201	1816
30	207	1800
31	213	1784
32	219	1773
33	224	1758
34	230	1744
35	236	1730
36	241	1715
37	247	1703
38	252	1692
39	258	1681
40	261	1652
41	268	1651
42	275	1646
43	281	1637
44	287	1628
45	293	1618
46	299	1610
47	304	1600
48	310	1592
49	316	1582
50	322	1572
51	327	1562
52	333	1554
53	338	1544
54	344	1535
55	350	1528
56	356	1521
57	363	1517
58	370	1514
59	377	1509
60	382	1500
61	388	1491
62	394	1483
63	400	1475
64	405	1466
65	408	1447
66	413	1439
67	419	1431
68	425	1423
69	430	1415
70	436	1407
71	442	1400
72	447	1393
73	453	1385
74	459	1377
75	464	1369
76	470	1362
77	476	1354
78	481	1346
79	487	1339
80	492	1331
81	498	1324
82	504	1319
83	511	1316
84	519	1314
85	526	1309
86	533	1307
87	540	1301
88	546	1294
89	547	1278
90	553	1271
91	560	1266
92	566	1260
93	572	1253
94	578	1248
95	584	1243
96	591	1237
97	597	1231
98	603	1225
99	609	1219
100	615	1213
101	621	1206
102	627	1199
103	632	1192
104	639	1186
105	644	1180
106	650	1173
107	656	1166
108	662	1161
109	669	1155
110	672	1145
111	678	1139
112	684	1132
113	690	1126
114	696	1119
115	702	1114
116	708	1107
117	713	1101
118	719	1094
119	725	1087
120	730	1081
121	737	1075
122	742	1068
123	748	1062
124	754	1055
125	760	1049
126	766	1043
127	772	1037
128	778	1031
129	784	1025
130	791	1020
131	797	1014
132	802	1008
133	808	1001
134	814	995
135	820	989
136	825	982
137	831	975
138	836	969
139	842	962
140	848	956
141	854	950
142	859	944
143	865	937
144	871	931
145	877	925
146	883	919
147	889	913
148	895	907
149	900	900
150	907	895
151	915	891
152	922	886
153	928	880
154	935	874
155	941	868
156	948	863
157	954	857
158	960	851
159	966	846
160	973	840
161	979	834
162	985	828
163	991	821
164	997	815
165	1003	810
166	1010	804
167	1016	799
168	1022	792
169	1028	786
170	1034	780
171	1039	773
172	1045	767
173	1051	761
174	1057	755
175	1063	749
176	1069	743
177	1074	736
178	1081	731
179	1088	725
180	1095	720
181	1101	713
182	1106	707
183	1113	701
184	1118	695
185	1124	689
186	1130	682
187	1135	676
188	1141	670
189	1146	663
190	1152	657
191	1158	651
192	1163	645
193	1164	636
194	1171	630
195	1178	625
196	1185	619
197	1190	613
198	1196	607
199	1202	601
200	1207	594
201	1213	588
202	1218	582
203	1224	576
204	1230	570
205	1236	564
206	1242	558
207	1247	551
208	1253	545
209	1260	540
210	1266	534
211	1273	528
212	1279	522
213	1285	516
214	1290	510
215	1296	504
216	1301	497
217	1308	492
218	1313	485
219	1319	479
220	1326	474
221	1332	468
222	1337	461
223	1344	456
224	1350	450
225	1356	444
226	1362	438
227	1369	432
228	1375	426
229	1381	420
230	1387	414
231	1393	408
232	1399	402
233	1405	396
234	1411	390
235	1416	384
236	1423	378
237	1429	372
238	1435	366
239	1441	360
240	1447	354
241	1452	348
242	1458	342
243	1464	336
244	1469	329
245	1475	323
246	1481	317
247	1487	311
248	1494	306
249	1500	300
250	1506	294
251	1512	288
252	1517	281
253	1523	275
254	1529	269
255	1536	264
256	1542	258
257	1548	252
258	1554	246
259	1559	239
260	1566	234
261	1572	228
262	1578	222
263	1584	216
264	1589	209
265	1595	203
266	1600	197
267	1607	191
268	1614	186
269	1621	180
270	1628	174
271	1635	168
272	1641	162
273	1648	156
274	1656	150
275	1662	144
276	1669	138
277	1675	132
278	1681	126
279	1687	120
280	1692	114
281	1699	108
282	1704	102
283	1710	96
284	1716	90
285	1722	84
286	1727	78
287	1734	72
288	1739	66
289	1745	60
290	1751	54
291	1753	48
292	1759	42
293	1765	36
294	1771	30
295	1777	24
296	1783	18
297	1788	12
298	1795	6
299	1801	0
