year,month,PM25,PM25_clean,Ozone,PM25_Availability,PM25_WUstl,Time,U10,V10,WS,WD,SP,BLH,TCC,T2M,D2M,RH,SSR,TP,O3
1998,1,,,,,47.635,01-01-1998 00:00,-0.8149236,-1.7348323,1.9179299,64.84638,1010.4889,419.54993,0.31170225,293.1907,281.55353,47.037514,3.959218,0,0.005491646
1998,2,,,,,60.561802,01-02-1998 00:00,0.17059106,-1.1381063,1.1511576,98.48998,1009.99396,538.01025,0.2862288,294.87604,282.01074,43.73913,4.530796,1.61E-05,0.005485888
1998,3,,,,,57.526398,01-03-1998 00:00,0.41136342,-0.859247,0.9526869,115.56645,1006.59784,623.7827,0.073931396,299.92624,284.6601,38.561714,5.342226,5.27E-07,0.005528163
1998,4,,,,,48.721,01-04-1998 00:00,1.8516836,-0.06302047,1.853795,178.10043,1003.417,779.6465,0.29341704,304.76514,289.18433,39.110916,5.7004066,3.68E-05,0.005848876
1998,5,,,,,41.725,01-05-1998 00:00,2.271288,0.4417987,2.3158553,190.96707,999.8004,882.16895,0.11725338,307.48248,291.58008,39.056747,6.010767,2.96E-06,0.005904039
1998,6,,,,,33.1598,01-06-1998 00:00,2.0497694,1.6148291,2.6106725,218.17845,996.01526,970.83856,0.45930225,306.411,296.3396,55.593708,4.772359,0.002796066,0.005888935
1998,7,,,,,34.588,01-07-1998 00:00,2.1437397,1.9831953,2.9213924,222.76224,996.1765,743.2866,0.88988996,302.88837,297.77142,74.04532,3.203495,0.003204212,0.005869565
1998,8,,,,,31.0106,01-08-1998 00:00,2.2159986,1.3680449,2.605134,211.69678,998.37726,611.397,0.8136915,302.11633,298.14203,79.15967,3.1073966,0.006045073,0.005817691
1998,9,,,,,25.0746,01-09-1998 00:00,1.3980198,0.33164513,1.4381342,193.45816,1000.0818,538.0459,0.57056093,302.20807,297.66028,76.50609,3.8197036,0.004535659,0.005786435
1998,10,,,,,32.311802,01-10-1998 00:00,-0.5392231,0.00481326,0.539276,179.48178,1003.7779,457.69775,0.27554798,301.07324,294.3982,67.05411,4.0598145,0.001669634,0.005597106
1998,11,,,,,28.8188,01-11-1998 00:00,-1.4338827,-1.1139262,1.8163123,37.885605,1007.57086,449.6272,0.08915675,297.03497,287.33276,54.55957,4.05239,7.13E-05,0.005253514
1998,12,,,,,37.5628,01-12-1998 00:00,-1.7803841,-1.292526,2.2002387,35.99401,1010.7826,285.5492,0.23365073,293.26575,283.76068,54.312187,3.795302,0,0.005116765
1999,1,,,,,50.415,01-01-1999 00:00,-0.74262303,-1.4261239,1.6092315,62.520863,1009.24023,378.1599,0.0828107,292.20035,282.3178,52.68328,4.040101,0,0.005077577
1999,2,,,,,62.8662,01-02-1999 00:00,-0.8165192,-1.6346779,1.8291168,63.48927,1009.3773,444.65308,0.20854294,296.4652,286.4333,53.264008,4.5036,0.000123515,0.005151476
1999,3,,,,,54.1914,01-03-1999 00:00,0.8280546,-1.3938322,1.6214461,120.68808,1003.7368,531.9673,0.078205705,299.74744,283.42157,35.912754,5.465811,0,0.005166575
1999,4,,,,,56.084198,01-04-1999 00:00,1.7852998,-0.35492152,1.8224244,168.75406,1001.6559,640.4785,0.001864249,304.235,285.60324,31.980545,5.9883947,0,0.005638813
