year,month,PM25,PM25_clean,Ozone,PM25_Availability,PM25_WUstl,PM25_WUstl_original,Time,U10,V10,WS,WD,SP,BLH,TCC,T2M,D2M,RH,SSR,TP,O3
1998,1,,,,,46.74319789,60.749146,01-01-1998 00:00,1.0110607,-0.68139935,1.219241,146.0221956,991.59937,205.97697,0.36112714,284.79517,280.36108,74.21168,2.9399817,0.000331655,0.006266408
1998,2,,,,,21.26485207,33.10513,01-02-1998 00:00,0.026980989,-0.24340338,0.24489422,96.32534915,989.4462,340.3921,0.40212864,288.02222,283.1953,72.83076,3.4083982,0.002992679,0.006557118
1998,3,,,,,12.38344816,23.468803,01-03-1998 00:00,0.0993619,-0.8411841,0.8470321,96.73664577,986.91187,362.46265,0.468894,291.34595,285.89233,70.474266,4.2802005,0.002254902,0.00659316
1998,4,,,,,19.98476962,31.71624,01-04-1998 00:00,-0.46583867,-0.9488528,1.057037,63.85129926,982.1044,526.0635,0.36464715,299.448,289.72192,55.078846,5.3608866,0.002128427,0.006562933
1998,5,,,,,31.56182501,44.27735,01-05-1998 00:00,-0.26838785,-1.2796831,1.3075248,78.15504179,976.945,895.10376,0.2737596,305.52734,288.79077,36.521095,6.1108866,0.0008449,0.006295055
1998,6,,,,,7.672749539,18.357693,01-06-1998 00:00,0.23195732,-0.13085324,0.2663208,150.5715095,973.21814,849.97144,0.26505738,306.69385,292.2976,42.68763,5.839657,0.001442362,0.006105114
1998,7,,,,,6.346189688,16.918375,01-07-1998 00:00,-1.2982683,0.7633569,1.5060593,329.5452867,972.34,413.45972,0.5063596,303.67944,299.91943,80.37723,4.0482683,0.009979561,0.005935974
1998,8,,,,,8.77558874,19.554274,01-08-1998 00:00,-1.6570501,0.6310516,1.7731444,339.1517501,974.8787,414.11157,0.34273213,303.3601,299.6128,80.39621,4.3244443,0.003370445,0.005925227
1998,9,,,,,11.06831227,22.04188,01-09-1998 00:00,-0.5028919,-0.18583816,0.53613067,20.28123681,979.85815,375.89014,0.2986638,301.8335,297.33594,76.67472,3.991659,0.002588596,0.005843438
1998,10,,,,,30.38296556,42.998287,01-10-1998 00:00,-0.2713545,-0.54718745,0.610776,63.62283057,983.8688,345.73633,0.15392196,297.71875,291.74,69.3404,3.8200808,0.001175946,0.005598672
1998,11,,,,,50.11945832,64.41239,01-11-1998 00:00,0.19294327,-0.9726026,0.9915558,101.2205632,988.3269,249.18347,0.031440537,291.5752,284.3777,62.866528,3.4430146,4.87E-06,0.005367059
1998,12,,,,,79.70431314,96.51197,01-12-1998 00:00,0.7054468,-0.5904319,0.91992664,140.0719588,991.34937,144.73378,0.29251772,285.3457,281.74194,78.61938,2.7658265,2.49E-05,0.005309381
1999,1,,,,,45.72070796,59.639744,01-01-1999 00:00,-0.07981187,-0.16104251,0.17973487,63.63721254,989.83875,211.46024,0.61168313,284.8777,282.90063,87.66865,2.359876,0.003210685,0.005916286
1999,2,,,,,19.96231802,31.69188,01-02-1999 00:00,1.222456,-0.6999163,1.4086453,150.2067357,991.02313,212.88638,0.4330998,288.687,284.6355,76.80337,3.4508524,0.000640482,0.006017093
1999,3,,,,,5.09958741,15.565811,01-03-1999 00:00,0.7131354,-1.0670996,1.2834576,123.7545389,982.8325,418.52832,0.40364575,293.79395,284.56055,55.431484,4.6193776,0.000302203,0.005496245
1999,4,,,,,25.11730218,37.28504,01-04-1999 00:00,0.9260952,-0.8397488,1.2501321,137.7994241,978.39185,907.8638,0.15275729,302.79443,281.5708,26.52493,5.8720617,9.04E-05,0.005915776
1999,5,,,,,38.77163971,52.100002,01-05-1999 00:00,0.006726407,-0.33916909,0.33923578,91.13614185,974.41626,919.78906,0.34237534,305.54688,287.4807,33.529392,5.7613497,0.000786393,0.006008711
1999,6,,,,,13.81044392,25.017094,,,,,,,,,,,,,,
1999,7,,,,,11.85369261,22.894018,,,,,,,,,,,,,,
1999,8,,,,,10.75479165,21.70171,,,,,,,,,,,,,,
1999,9,,,,,17.30093104,28.804274,,,,,,,,,,,,,,
1999,10,,,,,36.94604595,50.119232,,,,,,,,,,,,,,
1999,11,,,,,43.05735048,56.75,,,,,,,,,,,,,,
1999,12,,,,,57.56007846,72.485466,,,,,,,,,,,,,,
2000,1,,,,,53.48745332,68.066666,01-01-2000 00:00,0.5064016,-0.41966766,0.65769565,140.3506085,989.52435,231.62984,0.34499007,285.021,281.22217,77.53661,2.842082,0.002544229,0.006023947
2000,2,,,,,22.2778867,34.204273,01-02-2000 00:00,0.5222597,-0.8712909,1.0158262,120.9388561,988.16565,284.52417,0.34926778,286.0791,281.7068,74.747154,3.4608533,0.0021847,0.006484415
2000,3,,,,,22.7497455,34.71624,01-03-2000 00:00,-0.28831267,-1.0066919,1.0471642,74.01849225,984.6169,406.3833,0.25824976,292.31445,284.43237,60.2442,4.8299737,0.000591654,0.006368309
2000,4,,,,,26.98701574,39.31368,01-04-2000 00:00,-0.08395678,-1.0846815,1.0879259,85.57400315,978.34314,698.0945,0.26005846,301.57593,284.3667,34.33423,5.644464,0.000153227,0.00626548
2000,5,,,,,47.11894981,61.156837,01-05-2000 00:00,-0.5509806,0.3327765,0.6436768,328.8692286,974.3038,837.5989,0.28904188,306.74658,291.25342,39.867672,5.928015,0.00083355,0.005981568
2000,6,,,,,34.83765138,47.831623,01-06-2000 00:00,-1.1859674,0.61167425,1.3344153,332.7171388,972.03436,834.0925,0.29123086,306.37573,295.0205,51.411034,5.678803,0.00209058,0.00603706
2000,7,,,,,17.98035934,29.541454,01-07-2000 00:00,-1.7368069,0.6182761,1.8435736,340.4050647,972.1925,499.4231,0.63909495,303.5183,298.63452,75.182755,4.333058,0.004609671,0.005917665
2000,8,,,,,17.10753941,28.594444,01-08-2000 00:00,-1.2307053,0.37195128,1.285684,343.1838115,974.42065,469.1687,0.3400892,303.54004,298.73828,75.553665,4.443548,0.004781317,0.006005082
2000,9,,,,,18.81181893,30.443588,01-09-2000 00:00,-0.79934394,-0.23813176,0.83406085,16.58926824,978.78064,466.9536,0.16162837,301.95142,295.77368,69.2947,4.3904877,0.001661547,0.005901966
2000,10,,,,,46.09331058,60.044018,01-10-2000 00:00,-0.1646874,-0.717126,0.73579323,77.06632798,983.02185,447.48926,0.039363075,299.13843,289.5974,55.65438,4.1639404,2.65E-05,0.005606182
