year,month,PM25,PM25_clean,Ozone,PM25_Availability,PM25_WUstl,Time,U10,V10,WS,WD,SP,BLH,TCC,T2M,D2M,RH,SSR,TP,O3
1998,1,,,,,25.793373,01-01-1998 00:00,-2.4700117,0.72828543,2.5767007,343.54385,917.8888,722.24097,0.42488635,295.8393,288.42767,62.966217,4.5421576,3.48E-05,0.005006604
1998,2,,,,,23.733725,01-02-1998 00:00,-1.2131214,0.96905935,1.555376,321.36975,917.8209,802.8911,0.33582336,297.45615,287.48584,53.74049,4.983475,8.88E-05,0.005065785
1998,3,,,,,20.828653,01-03-1998 00:00,-1.2876787,1.0991589,1.6948599,319.55893,916.3523,893.8004,0.21131212,299.95135,287.92935,47.672565,5.5024924,7.70E-05,0.005167954
1998,4,,,,,13.45692,01-04-1998 00:00,-0.6619416,0.8671274,1.0920668,307.46252,915.2457,872.9684,0.4010961,301.17615,290.5794,52.547832,5.438365,0.001423207,0.00546984
1998,5,,,,,10.106141,01-05-1998 00:00,1.1053753,0.32730055,1.1533158,196.54211,913.0207,722.60156,0.5313963,300.5783,292.72348,62.241962,5.3479533,0.002407515,0.00556646
1998,6,,,,,8.041423,01-06-1998 00:00,4.737338,0.780087,4.804866,189.45761,911.7669,968.3479,0.78736115,298.6768,292.63058,69.23362,4.19992,0.002735529,0.005660046
1998,7,,,,,11.849415,01-07-1998 00:00,4.2348194,0.26034325,4.2451143,183.63385,912.2368,810.1752,0.9550319,296.77606,293.06992,79.72526,3.394474,0.005338382,0.005704913
1998,8,,,,,12.573002,01-08-1998 00:00,2.9416418,0.20082545,2.9509509,184.05612,912.9894,595.0419,0.96612954,296.58655,293.52866,82.96286,3.5135808,0.005745336,0.005739359
1998,9,,,,,11.369103,01-09-1998 00:00,3.1432066,0.048130453,3.1462998,181.02309,912.98083,599.88086,0.8895445,296.11102,293.02338,82.75433,3.7632918,0.005428568,0.005677216
1998,10,,,,,10.374074,01-10-1998 00:00,1.846633,-0.3517843,1.8809682,169.3988,914.229,529.6922,0.8177275,295.72958,292.12805,80.10129,3.7749214,0.004803943,0.005528163
1998,11,,,,,17.530798,01-11-1998 00:00,-1.1949711,-0.71197116,1.3916694,30.786007,915.3153,475.4936,0.54401493,295.14743,290.8004,76.35977,3.9185717,0.001792813,0.005161556
1998,12,,,,,17.40926,01-12-1998 00:00,-2.6372592,-0.6371122,2.713369,13.571562,917.5465,566.37695,0.48578244,293.73755,288.34888,71.234024,3.9589527,0.00048268,0.005034383
1999,1,,,,,30.11238,01-01-1999 00:00,-2.2219539,-0.17119461,2.2286487,4.4009004,916.342,605.3567,0.42976856,293.84735,285.39432,58.38345,4.8146358,3.77E-05,0.005075282
1999,2,,,,,22.057505,01-02-1999 00:00,-2.8699565,0.072060466,2.871756,268.55872,917.39185,783.57324,0.25030857,296.42328,285.62878,50.666355,5.24998,0.000351156,0.005020005
1999,3,,,,,24.251755,01-03-1999 00:00,-1.4790945,0.7355794,1.6536782,333.69077,913.3159,899.4236,0.22709775,299.27432,285.95154,43.62646,5.5558653,5.65E-05,0.00531681
1999,4,,,,,17.016863,01-04-1999 00:00,1.0473424,-0.3220687,1.0989666,162.76915,912.907,839.459,0.4393261,299.56497,289.5942,54.26502,5.3391743,0.000962717,0.005496804
1999,5,,,,,9.510624,01-05-1999 00:00,2.8861074,0.32263666,2.9077015,186.57385,912.2512,632.59155,0.7678096,297.34967,293.3786,78.50575,4.6646185,0.005724028,0.005761116
1999,6,,,,,9.631579,01-06-1999 00:00,4.799882,0.38662535,4.8180995,184.72034,912.8697,904.7239,0.86638695,296.79324,291.98264,74.42932,4.1808915,0.001143172,0.005823496
