year,month,PM25,PM25_clean,Ozone,PM25_Availability,PM25_WUstl,Time,U10,V10,WS,WD,SP,BLH,TCC,T2M,D2M,RH,SSR,TP,O3
1998,1,,,,,50.247917,01-01-1998 00:00,-1.2031412,-0.8053201,1.4477876,33.7962919,960.7294,372.12085,0.40073878,290.44507,284.02905,65.96001,3.8106608,5.58E-05,0.005483758
1998,2,,,,,37.187798,01-02-1998 00:00,-0.42603588,-0.4328224,0.60732347,45.45273029,959.77124,565.1001,0.3026641,293.06494,283.06787,52.499695,4.7060637,4.22E-05,0.005460329
1998,3,,,,,27.66607,01-03-1998 00:00,-0.04999806,-0.5666242,0.56882584,84.95736784,957.1262,777.00684,0.13020563,297.58276,283.0432,39.79467,5.5692697,0.000204613,0.005563997
1998,4,,,,,27.337202,01-04-1998 00:00,1.4502535,-0.5466204,1.5498481,159.3478858,953.7494,1078.1545,0.30997926,304.22876,284.9768,30.68072,5.8381963,0.00016733,0.005812783
1998,5,,,,,29.8625,01-05-1998 00:00,2.2543917,-0.8141079,2.396884,160.1442907,949.95,1367.4446,0.14962608,308.05054,286.57544,27.47772,6.1508846,6.92E-05,0.005873751
1998,6,,,,,17.821428,01-06-1998 00:00,2.6076126,0.020638037,2.6076941,180.4534599,946.8475,994.9746,0.5760345,304.81177,293.45142,50.998043,4.782153,0.005476035,0.005827479
1998,7,,,,,14.555059,01-07-1998 00:00,2.6440458,0.7874962,2.7588274,196.5855092,947.5538,608.353,0.91744274,300.00952,296.4795,81.01451,3.142384,0.00795798,0.005796969
1998,8,,,,,14.411013,01-08-1998 00:00,2.25387,0.7779258,2.3843443,199.0421723,949.3187,549.2439,0.9047117,299.67505,296.81738,84.32978,3.0208464,0.006187584,0.005757514
1998,9,,,,,17.986904,01-09-1998 00:00,0.2728985,-0.81654334,0.8609394,108.4802408,950.76935,462.57544,0.64004713,299.75342,296.37402,81.72351,3.8072054,0.004683983,0.005745798
1998,10,,,,,33.64256,01-10-1998 00:00,-0.50509804,-0.9106877,1.0413818,60.98577465,954.78876,504.0564,0.30891877,299.13208,292.8086,68.13642,4.1258545,0.002039367,0.005557723
1998,11,,,,,34.98869,01-11-1998 00:00,-1.4087105,-0.85513633,1.6479453,31.25920929,958.4244,406.18335,0.17897642,294.28442,286.9834,63.046803,3.945947,0.000548614,0.005222131
1998,12,,,,,27.751488,01-12-1998 00:00,-1.2001457,-0.5944804,1.339312,26.35106281,961.29315,320.01196,0.17818779,291.17798,281.26782,52.310543,3.989022,0,0.005119856
1999,1,,,,,41.806843,01-01-1999 00:00,-0.87468624,-0.4853875,1.0003386,29.0271016,959.1919,452.43945,0.07150781,290.31226,279.781,49.908646,4.2045712,1.11E-05,0.005025409
1999,2,,,,,41.806843,01-02-1999 00:00,-1.0887547,-0.94382644,1.4409008,40.92156707,960.055,462.99463,0.30393845,294.0027,286.53223,62.292374,4.285708,0.002085382,0.005098712
1999,3,,,,,25.315773,01-03-1999 00:00,0.6842703,-1.0635033,1.2646205,122.7576985,953.9125,801.85767,0.048903525,299.58765,280.34546,29.42185,5.76291,0,0.0051562
1999,4,,,,,29.227383,01-04-1999 00:00,1.8176231,-1.7890377,2.5503745,135.4541016,951.51685,1258.3704,0.03137836,305.60596,279.16333,19.15958,6.4013176,0,0.00559001
1999,5,,,,,29.540178,01-05-1999 00:00,3.1082354,-0.83706653,3.2189763,164.9274911,948.395,1337.2253,0.21880811,307.06543,287.8916,31.61424,5.964718,0.000209779,0.005812008
1999,6,,,,,17.007143,01-06-1999 00:00,3.271614,0.07621074,3.2725017,181.3344374,947.54877,935.4038,0.6614454,302.5769,294.0642,60.197372,4.412554,0.006646104,0.005865663
1999,7,,,,,14.068453,01-07-1999 00:00,3.4668217,0.79498553,3.556804,192.915347,946.3956,732.83154,0.9417084,299.62183,295.83398,79.70869,2.8207078,0.013283741,0.005840179
1999,8,,,,,13.028572,01-08-1999 00:00,2.943715,-0.25523484,2.9547594,175.0445622,949.4881,555.9302,0.86984575,298.64648,295.6604,83.564384,2.9598842,0.008704204,0.00586671
1999,9,,,,,18.843452,01-09-1999 00:00,1.784338,-1.0847635,2.0881987,148.7030708,951.15625,507.79517,0.7743541,298.4917,295.63892,84.227394,3.257103,0.006761726,0.005800266
1999,10,,,,,29.641073,01-10-1999 00:00,-0.5913197,-0.677895,0.8995558,48.90219961,955.60376,393.4187,0.38205266,297.13623,291.5747,71.066956,4.2658596,0.003266136,0.005665127
1999,11,,,,,33.20238,01-11-1999 00:00,-0.8710745,-0.4800315,0.9945859,28.85826798,959.5613,501.75195,0.16160977,294.75024,284.46533,51.939575,4.359612,0,0.005549856
1999,12,,,,,36.229168,01-12-1999 00:00,-1.8011723,-0.68387526,1.926631,20.79093995,961.0006,372.20996,0.06853706,290.42822,281.11963,54.294415,4.0036707,0,0.005499538
2000,1,,,,,36.918156,01-01-2000 00:00,-0.39951217,-0.44309658,0.5966109,47.96101719,959.2475,442.01147,0.023814894,291.67358,279.72095,45.618076,4.213344,2.49E-06,0.00534999
2000,2,,,,,42.187798,01-02-2000 00:00,-0.6038877,-0.89545536,1.0800558,56.00459981,957.2512,642.1726,0.09438056,292.53198,279.14844,41.56272,4.704149,1.47E-05,0.005681403
2000,3,,,,,44.44167,01-03-2000 00:00,0.7343487,-0.84703314,1.121041,130.9241673,955.1769,931.8801,0.000539104,298.67578,276.67554,24.065655,5.870363,0,0.005663186
2000,4,,,,,41.95625,01-04-2000 00:00,2.2161617,-1.2802372,2.559371,149.9857381,951.03186,1365.23,0.073022604,305.94238,280.2622,20.275822,6.191608,7.11E-05,0.006043911
2000,5,,,,,34.04137,01-05-2000 00:00,2.6431894,-0.17937726,2.649269,176.1176353,949.79626,1033.2205,0.30940008,304.9253,290.687,42.632317,5.6929665,0.002639079,0.005968709
2000,6,,,,,25.311607,01-06-2000 00:00,2.6999512,0.29293787,2.7157962,186.1922253,946.6181,885.7583,0.6878859,303.0935,294.11816,58.625214,4.688422,0.003846841,0.005922996
2000,7,,,,,15.6976185,01-07-2000 00:00,3.104127,0.62061167,3.1655588,191.3061393,946.6163,661.30615,0.9454672,299.3435,295.90186,81.36508,2.6934144,0.009356521,0.005869065
2000,8,,,,,14.931846,01-08-2000 00:00,2.1345005,-0.44795167,2.180998,168.1477649,948.4556,598.86816,0.82554185,299.76196,295.87915,79.269424,3.377882,0.006258365,0.005866256
2000,9,,,,,19.983334,01-09-2000 00:00,1.408678,-0.6989347,1.5725404,153.6110694,952.33124,547.4033,0.44868886,299.60596,293.90234,70.89203,4.3320913,0.001171863,0.005817398
2000,10,,,,,35.98631,01-10-2000 00:00,-0.40588617,-0.88292956,0.9717552,65.31157322,954.78375,651.0957,0.11379892,299.7732,286.70483,44.495438,4.9730263,8.39E-06,0.005564638
2000,11,,,,,40.67738,01-11-2000 00:00,-1.283145,-0.49614877,1.3757269,21.13980088,958.34,626.41797,0.0686456,296.29126,282.44946,41.331867,4.382502,0,0.005294312
2000,12,,,,,34.09494,01-12-2000 00:00,-1.4900293,-0.8134192,1.6975979,28.630488,960.245,376.4314,0.12330735,291.99536,277.22803,37.596653,3.927561,0.0003918,0.005218875
2001,1,,,,,46.24375,01-01-2001 00:00,-1.0025826,-0.76357424,1.260245,37.29316517,958.7025,487.36572,0.16611922,291.58228,278.9673,43.55467,4.1011395,1.54E-05,0.005258348
2001,2,,,,,47.769344,01-02-2001 00:00,-0.7260766,-1.1448231,1.3556575,57.61606576,956.83435,638.02124,0.107759535,295.50122,278.02344,32.017735,4.872717,3.40E-06,0.00536938
