year,month,PM25,PM25_clean,Ozone,PM25_Availability,PM25_WUstl,Time,U10,V10,WS,WD,SP,BLH,TCC,T2M,D2M,RH,SSR,TP,O3
1998,1,,,,,38.743877,01-01-1998 00:00,1.085763,-1.2880688,1.6846372,130.1288345,979.595,239.41719,0.3857345,285.6726,281.5935,76.17828,3.0770638,0.000163087,0.006149199
1998,2,,,,,17.681633,01-02-1998 00:00,0.16704673,-0.6292239,0.65102017,104.8679528,977.95874,412.6443,0.36510378,289.23877,283.08594,66.87143,3.5719514,0.002239991,0.006340861
1998,3,,,,,15.141326,01-03-1998 00:00,0.569241,-1.1200619,1.2564131,116.9407158,975.32623,455.48584,0.4109437,292.1399,285.04028,63.40213,4.486722,0.003151133,0.006468214
1998,4,,,,,23.338776,01-04-1998 00:00,0.31606358,-1.0332756,1.0805345,107.0080894,970.96814,675.7512,0.35729092,300.1023,286.6504,43.486835,5.453326,0.002265404,0.006440431
1998,5,,,,,23.913265,01-05-1998 00:00,0.050194483,-1.0175447,1.018782,92.82405539,966.0656,966.51636,0.2683596,305.89038,287.33008,32.566185,6.082513,0.001093805,0.006233729
1998,6,,,,,15.668367,01-06-1998 00:00,-0.004106365,-0.6089559,0.60896975,89.61364391,962.79626,638.05884,0.3127337,304.5691,293.72656,52.59306,5.443191,0.007811498,0.00600354
1998,7,,,,,14.718877,01-07-1998 00:00,-0.5915931,0.63748246,0.8696932,312.8617694,962.26373,397.8589,0.5823808,302.64966,298.99658,80.754456,3.8839958,0.008265242,0.005902674
1998,8,,,,,12.125511,01-08-1998 00:00,-0.94556886,0.85896134,1.2774643,317.7477735,964.83185,386.1809,0.473279,301.82837,298.64746,82.949974,3.9823182,0.005097665,0.00588106
1998,9,,,,,11.580102,01-09-1998 00:00,-0.21800321,-0.21200931,0.3040943,44.20141143,969.1887,377.2854,0.27719373,300.9856,296.75977,77.81226,4.284507,0.001636438,0.005813923
1998,10,,,,,26.70051,01-10-1998 00:00,0.4240278,-1.1167536,1.1945451,110.7916112,972.73627,318.28247,0.15941387,296.96094,291.41626,71.10996,3.7829785,0.006820895,0.005579624
1998,11,,,,,55.05918,01-11-1998 00:00,0.60832834,-1.3390598,1.4707633,114.4320664,976.8175,224.56992,0.044874128,291.6245,285.6931,68.35401,3.5456417,4.60E-05,0.005331643
1998,12,,,,,56.32245,01-12-1998 00:00,1.0234795,-1.2917233,1.6480471,128.3910696,979.5012,184.08316,0.14377052,286.1587,282.44214,78.144554,2.9942071,9.61E-06,0.005273566
1999,1,,,,,43.819386,01-01-1999 00:00,0.25511074,-0.5336958,0.5915342,115.5481614,978.1431,254.71384,0.5018775,285.40747,282.47192,82.25585,2.6511176,0.001914054,0.005738065
1999,2,,,,,18.082144,01-02-1999 00:00,1.1080217,-1.3597918,1.7540655,129.1747536,979.10376,267.9402,0.39563388,289.5974,284.47534,71.698524,3.789909,0.000432368,0.005861986
1999,3,,,,,15.801021,01-03-1999 00:00,1.0265989,-1.6055498,1.9057008,122.5951113,971.17126,518.0193,0.33687526,295.052,283.4331,47.605522,4.923959,0.000568456,0.00536361
1999,4,,,,,27.50153,01-04-1999 00:00,1.0410185,-1.493823,1.8207765,124.8719487,967.2606,976.2639,0.11101788,303.386,279.60522,22.41514,6.020141,3.84E-05,0.005845331
