year,month,PM25,PM25_clean,Ozone,PM25_Availability,PM25_WUstl,Time,U10,V10,WS,WD,SP,BLH,TCC,T2M,D2M,RH,SSR,TP,O3
1998,1,,,,,22.611988,01-01-1998 00:00,-2.3123627,-0.6441118,2.4038157,16.031706,1011.50806,600.4641,0.43117166,298.90375,294.2219,75.381096,4.3091793,0.000237218,0.005069656
1998,2,,,,,31.304771,01-02-1998 00:00,-1.622756,1.0848794,1.95369,325.94043,1011.0492,617.147,0.33996314,300.0344,294.87125,73.362656,5.066898,0.000229164,0.005130719
1998,3,,,,,20.534628,01-03-1998 00:00,-1.5509901,2.4136553,2.8704925,302.52344,1009.0569,641.86053,0.27140987,301.3866,296.0056,72.63721,5.5983086,7.21E-05,0.005241987
1998,4,,,,,16.44484,01-04-1998 00:00,-1.1117821,3.4727888,3.6466973,287.67307,1006.9125,685.56274,0.3751366,303.22595,297.84503,72.98549,5.885484,0.000135938,0.005545111
1998,5,,,,,15.448502,01-05-1998 00:00,0.03299886,2.5934038,2.5968604,268.67535,1002.84106,604.57935,0.5343408,304.73196,298.54535,69.89574,5.426427,0.001020079,0.005645468
1998,6,,,,,16.849611,01-06-1998 00:00,2.2601576,2.5672398,3.4509637,227.45839,1001.0138,809.1865,0.7622373,304.99652,296.79242,62.0152,4.828091,0.00108226,0.00570219
1998,7,,,,,14.066592,01-07-1998 00:00,2.0944242,1.6573362,2.6952572,217.37448,1002.2801,719.1194,0.90712464,303.243,296.77576,68.36419,4.364703,0.003525047,0.005749033
1998,8,,,,,20.943174,01-08-1998 00:00,1.4037895,2.00955,2.455932,234.30566,1003.62415,494.15906,0.9224956,301.9308,297.94745,79.09031,4.2654924,0.005442876,0.005784495
1998,9,,,,,14.79889,01-09-1998 00:00,1.4785376,1.227541,1.9343215,218.5654,1003.5222,525.13226,0.8519233,301.93442,297.51706,77.06282,4.371011,0.004639085,0.005714212
1998,10,,,,,17.94728,01-10-1998 00:00,1.1985215,-0.04580295,1.2023655,177.64536,1005.3497,461.72778,0.8146655,300.74487,297.1549,80.81877,3.7693152,0.005739648,0.005558858
1998,11,,,,,28.706327,01-11-1998 00:00,-0.8958912,-1.7507658,1.9718387,63.56591,1007.4286,465.62134,0.5970073,299.6643,296.60617,83.318184,3.7753575,0.00612798,0.005190824
1998,12,,,,,35.674583,01-12-1998 00:00,-2.1273537,-3.3473177,3.9697592,58.011337,1010.94794,701.6228,0.5247293,298.26263,293.77835,76.209175,3.8245745,0.001566665,0.005088511
1999,1,,,,,37.13574,01-01-1999 00:00,-1.8442478,-2.40514,3.033666,52.94384,1009.94604,617.72437,0.4678476,297.51028,292.25296,72.50466,4.661169,0.000306483,0.005130051
1999,2,,,,,41.13285,01-02-1999 00:00,-2.045866,-1.8858366,2.784724,43.056267,1010.66113,570.374,0.35357606,299.16635,294.46368,75.315445,5.0347466,0.000327458,0.005059681
1999,3,,,,,32.599335,01-03-1999 00:00,-0.6060686,2.5251217,2.59801,283.3429,1005.2984,516.53687,0.27767712,301.04898,295.78284,73.10059,5.9236536,5.83E-05,0.005389863
1999,4,,,,,30.815205,01-04-1999 00:00,-0.40105373,1.8893242,1.9325407,282.0644,1003.22534,568.69824,0.42342478,303.15,297.64554,72.44566,5.8005733,0.000479168,0.005527705
1999,5,,,,,23.107658,01-05-1999 00:00,1.1798716,2.734868,2.9950087,245.22917,1002.0929,658.79224,0.6178704,303.68268,297.15765,68.28986,5.451402,0.00091995,0.005829994
1999,6,,,,,17.477581,01-06-1999 00:00,2.449607,2.3294811,3.4257612,222.21712,1002.5345,792.6233,0.8368611,303.74734,295.95883,63.28739,4.993151,0.000842751,0.005859783
1999,7,,,,,15.81687,01-07-1999 00:00,2.9008493,1.8106508,3.450488,211.19177,1001.90405,930.8015,0.87864524,303.5217,295.40714,61.962753,4.4754114,0.001326338,0.005853394
1999,8,,,,,15.839178,01-08-1999 00:00,1.967186,1.9264345,2.7797978,222.98883,1003.52277,695.49316,0.83519334,302.51544,296.25842,69.11175,4.364234,0.002269777,0.005870359
1999,9,,,,,15.998668,01-09-1999 00:00,0.95160055,1.7688131,2.0275745,239.69476,1003.92834,625.8213,0.7732885,302.40295,296.62372,71.10654,4.816901,0.001753605,0.005833585
1999,10,,,,,13.499334,01-10-1999 00:00,-0.45706284,-0.24639648,0.54007995,30.107443,1005.2204,421.57434,0.7188284,300.4533,297.11697,82.023224,4.0248756,0.006370451,0.005654568
1999,11,,,,,31.147058,01-11-1999 00:00,-1.7468138,-2.4138174,2.9843576,54.64949,1009.01056,615.01685,0.54576343,299.3059,295.129,77.80407,4.065519,0.00491295,0.005500676
1999,12,,,,,36.236958,01-12-1999 00:00,-2.134655,-3.1824636,3.8376982,56.71647,1010.73315,691.16504,0.50802076,297.84216,293.33624,76.041,3.9547756,0.002005524,0.005337776
2000,1,,,,,29.382132,01-01-2000 00:00,-1.9528933,-1.7804041,2.6473606,42.975616,1010.2608,588.7156,0.40372252,297.76465,293.43222,76.83532,4.4421887,0.000234444,0.005243118
2000,2,,,,,28.096338,01-02-2000 00:00,-1.880517,0.9868376,2.124951,332.12042,1008.234,558.2471,0.56475544,299.22427,295.18063,78.4235,4.3999844,0.002228977,0.005258905
