year,month,PM25,PM25_clean,Ozone,PM25_Availability,PM25_WUstl,PM25_WUstl_original,Time,U10,V10,WS,WD,SP,BLH,TCC,T2M,D2M,RH,SSR,TP,O3
1998,1,,,,,23.59276601,37.412373,01-01-1998 00:00,0.1759429,-0.2460708,0.3025008,125.5651184,946.54877,200.76468,0.36950177,284.59326,280.44385,75.636604,3.2740705,0.000204437,0.006082192
1998,2,,,,,-31.11110064,24.598234,01-02-1998 00:00,-0.15078497,-0.39904445,0.42658243,69.30017146,945.53186,316.19116,0.39031422,287.6206,282.30542,70.40702,3.6983192,0.002918512,0.006227952
1998,3,,,,,-47.06604413,20.860859,01-03-1998 00:00,0.101947665,-0.33421546,0.34941852,106.96358,943.08563,376.77417,0.41918665,290.17725,283.81372,66.133705,4.6247134,0.002582329,0.006398965
1998,4,,,,,-23.54867835,26.369698,01-04-1998 00:00,0.014457304,-0.48560405,0.48581922,91.70529447,939.8713,576.12524,0.36592215,297.40967,285.79053,48.242466,5.534961,0.001460231,0.006367799
1998,5,,,,,-5.364365155,30.629293,01-05-1998 00:00,0.038927786,-0.40576214,0.40762517,95.4800395,935.64935,745.92334,0.25560308,302.40063,287.90088,41.242367,6.188283,0.000991667,0.006183069
1998,6,,,,,-20.04937647,27.189394,01-06-1998 00:00,0.1826554,-0.30373615,0.3544272,121.0211042,932.3794,518.88403,0.42532855,302.05933,293.54736,60.08213,5.10996,0.006082863,0.005931158
1998,7,,,,,-43.78234931,21.63005,01-07-1998 00:00,-0.11157733,0.4255393,0.4399241,284.6923384,931.965,303.19263,0.7076843,300.56665,297.95215,85.66189,3.441134,0.015346672,0.005861521
1998,8,,,,,-68.19555696,15.911364,01-08-1998 00:00,-0.119532466,0.38748926,0.40550703,287.1439182,934.4381,293.98608,0.7066051,299.71216,297.38745,87.08072,3.593797,0.009322647,0.00583265
1998,9,,,,,-40.3962406,22.423231,01-09-1998 00:00,0.03379467,-0.053783797,0.063519895,122.1429121,938.41064,305.29517,0.35461026,298.87793,295.81152,83.18364,4.0893154,0.002540246,0.005780585
1998,10,,,,,13.1390405,34.963634,01-10-1998 00:00,-0.07817459,-0.35430992,0.36283162,77.55766354,941.3244,268.1101,0.17393887,295.5354,291.56152,78.22915,3.8458126,0.005258437,0.005565617
1998,11,,,,,22.87156564,37.243435,01-11-1998 00:00,-0.08331537,-0.43188012,0.43984303,79.0810213,944.67377,195.67352,0.061308425,290.68213,285.81665,73.11972,3.655205,0.000152393,0.005292829
1998,12,,,,,4.903926758,33.034595,01-12-1998 00:00,0.022229243,-0.26860183,0.2695201,94.73096526,946.79626,161.17906,0.067872226,285.53003,281.67114,77.30059,3.294986,1.64E-05,0.005254634
1999,1,,,,,23.65098269,37.42601,01-01-1999 00:00,-0.13288194,-0.2689491,0.29998538,63.70701691,945.29376,221.97562,0.38973528,284.5547,280.81543,77.77932,3.0859547,0.001548752,0.005642753
1999,2,,,,,-41.63705376,22.132576,01-02-1999 00:00,0.19994056,-0.4742654,0.51468813,112.8592902,946.4263,265.49634,0.40668797,288.8623,282.44995,65.63658,3.9731345,0.000540135,0.005748548
1999,3,,,,,-48.94291198,20.421211,01-03-1999 00:00,0.6006534,-0.6813031,0.9082722,131.4001866,939.16565,550.1001,0.2962131,293.78247,281.23755,44.38559,5.19419,0.000225243,0.00530228
1999,4,,,,,0.799836521,32.07323,01-04-1999 00:00,0.686388,-0.7213455,0.9957248,133.5774979,936.3131,890.6509,0.09270793,300.83813,279.2744,25.396198,6.234928,7.28E-05,0.005800519
1999,5,,,,,3.881960839,32.795204,01-05-1999 00:00,-0.065770924,-0.2217164,0.23126604,73.47730647,933.57,744.3176,0.2908203,301.55615,288.823,45.958447,5.6916733,0.002471178,0.00594784
1999,6,,,,,-14.30990426,28.53384,01-06-1999 00:00,0.029042225,-0.17196578,0.17440091,99.58587385,932.2369,586.5818,0.32844663,301.07104,293.36108,62.910088,5.1041665,0.004145082,0.006027769
1999,7,,,,,-58.58594557,18.162373,01-07-1999 00:00,-0.17976147,0.17181194,0.24866349,316.2953112,930.8063,317.65063,0.70527774,299.88257,297.26367,85.57179,3.5578573,0.015097424,0.005865637
1999,8,,,,,-65.28701116,16.592678,01-08-1999 00:00,0.01692779,0.27694327,0.27746013,266.5022231,933.595,299.22998,0.666932,299.9004,296.91382,83.70172,3.6697319,0.011364467,0.00588635
1999,9,,,,,-23.69960115,26.334345,01-09-1999 00:00,-0.26044142,0.07572144,0.27122587,343.7885963,937.58624,254.55937,0.58685917,298.27026,295.6631,85.47148,3.6439178,0.005416479,0.005795993
1999,10,,,,,33.01049759,39.618435,01-10-1999 00:00,-0.08617109,-0.39286518,0.40220457,77.6286501,941.79376,251.3688,0.08814466,294.09424,289.69336,75.930145,4.298477,0.001165957,0.005826876
1999,11,,,,,-4.417849965,30.85101,01-11-1999 00:00,0.09947091,-0.40094566,0.41310033,103.9332406,945.0062,218.8054,0.09293473,289.52197,284.06348,70.10125,3.7235012,1.86E-05,0.005875457
