year,month,PM25,PM25_clean,Ozone,PM25_Availability,PM25_WUstl,Time,U10,V10,WS,WD,SP,BLH,TCC,T2M,D2M,RH,SSR,TP,O3
1998,1,,,,,37.252075,01-01-1998 00:00,-1.2883825,-0.38389146,1.3443594,16.59215606,958.34375,417.7173,0.37301075,291.63232,283.77026,60.16296,3.8647254,7.68E-05,0.005443137
1998,2,,,,,35.620415,01-02-1998 00:00,-0.07325733,-0.26946837,0.2792487,74.79121034,957.6906,635.64624,0.26506174,293.8169,281.21143,44.21288,4.79689,2.21E-05,0.005437508
1998,3,,,,,22.493322,01-03-1998 00:00,0.39592826,-0.49331337,0.6325482,128.7501712,955.07,841.80225,0.0848515,298.88965,281.58643,33.36807,5.6492724,3.52E-05,0.005502913
1998,4,,,,,19.288155,01-04-1998 00:00,2.3524704,-0.82071674,2.4915242,160.7674271,952.2675,1170.5493,0.29224586,304.79565,283.69287,27.280739,5.982515,0.000305027,0.005791828
1998,5,,,,,15.625076,01-05-1998 00:00,3.136448,-0.9570755,3.2792222,163.0306254,948.91565,1303.4133,0.16774958,307.44165,286.5293,28.3391,6.3526278,6.63E-05,0.005859956
1998,6,,,,,14.966967,01-06-1998 00:00,3.3708582,-0.04552375,3.3711655,179.2262622,945.7319,1007.47754,0.548977,304.15747,293.4402,52.8979,4.9716234,0.003950514,0.005830392
1998,7,,,,,15.269044,01-07-1998 00:00,3.303605,0.79055005,3.3968775,193.4577612,946.16064,654.20483,0.9247573,299.6272,296.063,80.7983,3.2345924,0.006062459,0.005806491
1998,8,,,,,16.437613,01-08-1998 00:00,2.9097242,0.49723768,2.9519048,189.6975015,947.8775,565.5144,0.88915145,299.1599,296.50024,85.289536,3.1004767,0.007626802,0.005771298
1998,9,,,,,21.942785,01-09-1998 00:00,1.3589325,-0.83445495,1.5946826,148.4479194,949.27563,468.87744,0.6595323,299.12817,296.00732,82.93799,3.6631534,0.0075664,0.005747706
1998,10,,,,,29.521067,01-10-1998 00:00,-0.28192133,-0.77972,0.82912177,70.12166203,952.9456,480.25317,0.35880888,298.64697,292.80493,70.11088,4.151651,0.001460057,0.005555131
