year,month,PM25,PM25_clean,Ozone,PM25_Availability,PM25_WUstl,PM25_WUstl_original,Time,U10,V10,WS,WD,SP,BLH,TCC,T2M,D2M,RH,SSR,TP,O3
1998,1,,,,,39.23956911,51.916668,01-01-1998 00:00,-0.8015195,-0.91008514,1.2127194,48.62936053,974.3094,363.61108,0.36012286,287.5952,278.09204,52.832405,3.4439347,6.76E-06,0.005730923
1998,2,,,,,18.44455395,35.284584,01-02-1998 00:00,0.1663484,-0.6114457,0.63367,105.2193944,972.6894,569.6382,0.31431484,291.115,278.9978,44.947113,3.9432845,0.000284309,0.00575392
1998,3,,,,,10.9990459,29.329584,01-03-1998 00:00,-0.23893261,-0.7938218,0.82900053,73.24871859,969.72125,698.8684,0.30924875,295.55957,281.53833,40.628536,4.751502,0.000429194,0.005875103
1998,4,,,,,29.56853056,44.181664,01-04-1998 00:00,1.2039156,-0.8735775,1.4874643,144.0348524,965.59436,1096.3638,0.32885826,303.57593,284.2976,30.448385,5.277225,0.000244842,0.006042093
1998,5,,,,,38.69725355,51.482918,01-05-1998 00:00,2.1709013,-0.92428297,2.3594728,156.9376346,961.3656,1299.9287,0.1401704,308.1306,285.43237,25.383318,5.567019,0.000254818,0.00602733
1998,6,,,,,15.89082721,33.242085,01-06-1998 00:00,1.8347626,-0.6834825,1.9579331,159.5687199,957.85565,987.374,0.45219833,306.7185,292.69067,43.685097,4.697939,0.002298272,0.005888864
1998,7,,,,,12.62390957,30.629168,01-07-1998 00:00,1.6930885,0.58710194,1.7919925,199.1246982,957.8681,582.87427,0.70224833,302.89136,297.34473,72.16096,3.5389276,0.006766319,0.005842395
1998,8,,,,,5.604022017,25.014584,01-08-1998 00:00,1.1349173,0.7374055,1.3534416,213.013548,959.9275,607.1472,0.7283661,302.625,297.29126,73.043365,3.9191284,0.002534844,0.005794227
1998,9,,,,,10.1285266,28.633333,01-09-1998 00:00,-0.84645337,0.014688659,0.8465808,359.0058357,963.41187,562.7051,0.34984595,301.8872,296.0083,70.55105,3.9931233,0.002801366,0.00574996
1998,10,,,,,36.09090314,49.39833,01-10-1998 00:00,-0.43176252,-0.7649434,0.87838334,60.55800115,967.52936,552.52783,0.20652974,299.14844,290.16895,57.67824,3.842758,0.001424516,0.005637631
1998,11,,,,,40.77065813,53.14125,01-11-1998 00:00,-0.69273156,-0.92630255,1.156682,53.20917366,971.54065,506.59595,0.08847433,294.50537,282.32935,45.711456,3.5036902,5.41E-05,0.005233128
1998,12,,,,,43.87087016,55.620834,01-12-1998 00:00,-0.14544028,-0.73701376,0.7512271,78.83683791,974.3625,294.14722,0.12781519,289.89185,279.83032,51.431496,3.3371174,0,0.005126055
1999,1,,,,,46.18860743,57.474586,01-01-1999 00:00,-0.40720594,-0.46117562,0.6152232,48.55634315,972.54626,373.9087,0.17285573,287.4275,280.4668,62.925476,3.4521053,0.000149153,0.005270179
1999,2,,,,,19.97929258,36.512085,01-02-1999 00:00,-0.61722296,-1.0519428,1.2196507,59.59790216,973.61127,532.3474,0.34028816,292.42944,281.39258,48.780033,3.985,0.00019482,0.005382966
1999,3,,,,,10.26449871,28.742085,01-03-1999 00:00,1.0031157,-0.953884,1.3842455,136.4410686,966.2875,782.3728,0.105731785,297.7732,279.05786,29.994022,5.0570326,0,0.005175311
1999,4,,,,,24.10057696,39.808334,01-04-1999 00:00,2.5292492,-1.259511,2.8255033,153.5276956,963.29065,1148.3271,0.049813382,304.67285,276.89258,17.241644,5.7235994,0,0.005625017
1999,5,,,,,48.67773266,59.465416,01-05-1999 00:00,3.0109444,-0.5767008,3.065676,169.1571799,959.40375,1244.1357,0.14886642,307.2295,286.29858,28.24804,5.388569,0.000640916,0.005847536
1999,6,,,,,19.92355192,36.467503,01-06-1999 00:00,2.1318874,-0.22370368,2.1435921,174.0097482,957.9956,1066.7114,0.33180434,306.4016,292.99243,45.310204,4.9137816,0.001447484,0.005941466
1999,7,,,,,9.884720284,28.438334,01-07-1999 00:00,2.6559753,-0.043554652,2.6563325,179.0605055,956.1931,917.67773,0.73707306,304.38867,295.15332,57.99854,3.5776792,0.008148208,0.005868699
1999,8,,,,,1.901063918,22.052917,01-08-1999 00:00,2.611803,0.123128235,2.6147037,182.6990967,960.2125,554.37134,0.6249031,301.75317,295.8357,70.36156,3.7938266,0.002479379,0.005889587
1999,9,,,,,5.86241553,25.22125,01-09-1999 00:00,0.5052636,-0.4423054,0.6715098,138.8012507,962.84314,559.8052,0.41658854,301.89087,294.89258,65.90242,3.9280531,0.001957832,0.005829312
1999,10,,,,,38.40812153,51.251667,01-10-1999 00:00,-0.21745986,-0.25591546,0.3358296,49.64434022,967.78937,638.76514,0.14555836,299.45166,287.3518,47.294373,4.060466,0.000416152,0.005771343
1999,11,,,,,32.87973241,46.83,01-11-1999 00:00,-0.02735652,-0.8431655,0.8436092,88.14168929,972.2438,512.5176,0.12159175,294.74634,281.1289,41.525124,3.6587958,0,0.005678386
1999,12,,,,,56.08937522,65.39333,01-12-1999 00:00,-0.6978885,-0.7652761,1.0357103,47.63695389,974.4875,320.3501,0.14026296,288.84155,279.3557,53.22661,3.3182566,3.24E-05,0.005547848
2000,1,,,,,37.92467113,50.864998,01-01-2000 00:00,-0.15078115,-0.64058435,0.65809065,76.75478283,972.3169,345.47778,0.10209626,288.33008,278.6101,52.236263,3.5690422,4.01E-05,0.005529851
2000,2,,,,,30.10980587,44.614582,01-02-2000 00:00,-0.22863716,-1.0476332,1.072292,77.68871361,970.65063,586.8125,0.09705651,289.7881,277.38818,43.69834,4.1732016,0.000201715,0.005834334
2000,3,,,,,29.90298579,44.449165,01-03-2000 00:00,0.5757364,-0.512775,0.7709803,138.3103993,967.5181,836.62354,0.042306177,296.34058,277.7351,29.821196,5.1155176,3.10E-07,0.005893368
2000,4,,,,,33.70805299,47.4925,01-04-2000 00:00,2.5374117,-0.7752632,2.653204,163.0103549,962.40186,1143.0823,0.16029721,304.79443,280.91846,22.629211,5.5513477,0.000201773,0.006102547
2000,5,,,,,35.8137627,49.17667,01-05-2000 00:00,3.217286,0.25399292,3.2272964,184.5139291,960.1575,1077.1523,0.21991318,306.99878,289.98682,36.2858,5.37632,0.001189064,0.005937446
2000,6,,,,,41.5104178,53.732918,01-06-2000 00:00,2.0422134,-0.050033156,2.0428262,178.5965643,957.17065,1051.4614,0.431759,306.45044,292.63696,44.19914,4.964453,0.00054331,0.006028783
2000,7,,,,,17.94235537,34.88292,01-07-2000 00:00,1.6951199,0.17655057,1.7042892,185.9460466,956.8869,629.05493,0.8719129,302.50293,296.9248,71.956604,3.2375288,0.007473514,0.00589487
2000,8,,,,,7.432577529,26.477083,01-08-2000 00:00,1.5562925,0.32458228,1.5897799,191.7808025,959.6844,643.5078,0.66502213,302.23877,296.26196,70.19815,3.7369258,0.002678854,0.005867243
