year,month,PM25,PM25_clean,Ozone,PM25_Availability,PM25_WUstl,Time,U10,V10,WS,WD,SP,BLH,TCC,T2M,D2M,RH,SSR,TP,O3
1998,1,,,,,99.35873,01-01-1998 00:00,1.2547436,-0.77933764,1.4770744,148.1550435,1002.52936,279.61646,0.36852878,287.02734,282.0266,71.80292,3.4829087,7.04E-05,0.005754594
1998,2,,,,,71.07651,01-02-1998 00:00,0.86962104,-0.6340241,1.0762097,143.9049247,1000.77185,425.8545,0.3318699,291.40747,284.16675,62.648563,4.0471697,0.000489954,0.005715869
1998,3,,,,,54.633648,01-03-1998 00:00,0.6746876,-0.75132364,1.0097973,131.9237968,997.5519,519.79834,0.30272597,294.8379,286.15356,57.734276,4.8565607,0.001409432,0.00596498
1998,4,,,,,47.839367,01-04-1998 00:00,-0.24941671,-0.41986972,0.4883639,59.28826648,992.4225,742.08545,0.26269346,303.07593,288.87256,42.22268,5.4449553,0.000292604,0.006062996
1998,5,,,,,50.057777,01-05-1998 00:00,-0.36608267,-0.4742877,0.5991372,52.33696351,987.3669,855.5669,0.13409424,307.3213,291.51294,39.241226,5.5337396,0.000543379,0.006016407
1998,6,,,,,26.174603,01-06-1998 00:00,-0.06541419,-0.11852616,0.13537897,61.10584147,983.8731,844.88257,0.5696697,307.27612,295.41675,50.078903,4.462724,0.002973484,0.00584675
1998,7,,,,,16.944126,01-07-1998 00:00,0.84664863,0.5125667,0.9897164,211.1909901,984.47626,492.3379,0.82204384,302.83594,299.1394,80.57049,3.1476612,0.013355602,0.005820364
1998,8,,,,,19.55365,01-08-1998 00:00,0.03218109,0.4505759,0.45172364,265.9147502,986.9456,399.40405,0.92318624,302.11914,299.59424,86.268745,2.9118686,0.009219341,0.005750038
1998,9,,,,,19.525396,01-09-1998 00:00,-1.6404142,-0.3566138,1.6787294,12.26484123,990.4125,479.4187,0.43743777,302.42676,298.896,81.31447,3.9638875,0.003090217,0.005762477
1998,10,,,,,58.00794,01-10-1998 00:00,0.1272772,-0.7844939,0.79475164,99.21543614,994.305,475.90723,0.20491755,300.7317,294.2234,67.67576,3.8962293,0.000595016,0.005624536
1998,11,,,,,96.85555,01-11-1998 00:00,0.8968592,-1.034215,1.3689255,130.9314498,998.7438,386.1941,0.1269772,295.36768,286.74927,58.111786,3.5512593,7.52E-05,0.005245719
1998,12,,,,,118.809525,01-12-1998 00:00,1.5747528,-0.94984245,1.8390343,148.9029125,1002.23065,278.97583,0.14008439,289.33936,283.55396,68.555626,3.4212136,0,0.005192895
1999,1,,,,,102.312065,01-01-1999 00:00,0.7843209,-0.7309698,1.0721362,137.0164652,1001.0062,300.78003,0.2293213,286.95093,282.7644,75.8368,3.4609358,0.000359724,0.005240556
1999,2,,,,,69.89238,01-02-1999 00:00,1.4290562,-1.1816139,1.8542958,140.4143837,1001.2544,323.80762,0.2718007,292.10913,284.89648,62.923973,4.060391,0.000164877,0.005319867
1999,3,,,,,49.047935,01-03-1999 00:00,2.2247229,-1.2647495,2.559098,150.3818752,992.8544,559.2688,0.055503946,297.9297,284.52686,43.02617,5.302249,0,0.005199496
1999,4,,,,,49.64476,01-04-1999 00:00,2.2418976,-0.857031,2.4001265,159.0791806,988.94,779.1946,0.052529532,304.625,283.927,27.979746,5.8848324,2.63E-05,0.005664401
1999,5,,,,,53.382538,01-05-1999 00:00,-0.087614655,-0.41535747,0.42449754,78.0887596,985.4356,944.7058,0.1444763,307.30664,290.74683,37.424797,5.4954076,0.000288083,0.005892552
1999,6,,,,,31.966667,01-06-1999 00:00,0.18364644,-0.17982435,0.25702685,135.6024733,984.085,884.3989,0.4668665,306.0713,294.82886,51.68973,4.638543,0.002415271,0.00595266
1999,7,,,,,19.737143,01-07-1999 00:00,-0.46305066,0.3095283,0.5569773,326.239075,982.71625,624.39185,0.866469,303.9912,298.00073,70.461136,3.5520859,0.00854807,0.005853631
1999,8,,,,,17.19238,01-08-1999 00:00,0.6451362,-0.24298745,0.68937916,159.3613572,986.3063,436.64575,0.79942554,302.56616,298.80444,80.2247,3.8893623,0.004273184,0.00586316
1999,9,,,,,19.276508,01-09-1999 00:00,-1.3173103,-0.5532769,1.4287834,22.78264814,989.83936,398.886,0.6641588,301.20532,298.39185,84.71509,3.3715556,0.005376376,0.005793627
1999,10,,,,,53.990475,01-10-1999 00:00,0.5479414,-0.48840135,0.7340134,138.2881464,995.17065,337.3181,0.23051548,298.94263,294.25195,75.33396,4.012683,0.001835189,0.005761072
1999,11,,,,,87.84,01-11-1999 00:00,1.6300516,-0.8776228,1.8512942,151.7018961,999.6956,315.91724,0.12013143,293.97583,286.71777,63.15437,3.8037286,0,0.005672868
1999,12,,,,,109.814606,01-12-1999 00:00,1.0347366,-0.87911534,1.3577642,139.6486716,1002.5712,277.7495,0.10670823,288.81445,283.9126,72.6102,3.4369972,2.22E-05,0.005617127
2000,1,,,,,89.87397,01-01-2000 00:00,0.5965278,-0.627902,0.8660868,133.5322037,1000.65875,313.45068,0.12308353,288.1941,282.2827,67.74608,3.6452436,0.000101923,0.005549591
2000,2,,,,,68.4546,01-02-2000 00:00,0.34463888,-0.9529675,1.0133722,109.8824271,998.72565,462.604,0.110747874,290.1836,281.27246,55.718143,4.30193,4.21E-05,0.005870707
2000,3,,,,,59.284443,01-03-2000 00:00,0.556722,-0.7269482,0.9156381,127.446137,994.7725,597.0901,0.067531824,296.55566,283.10303,42.501404,5.2258344,7.62E-05,0.00589361
2000,4,,,,,47.3473,01-04-2000 00:00,0.63470036,-0.47963774,0.7955482,142.9219642,988.6806,789.1365,0.1251927,303.92334,286.16846,33.763054,5.6967783,8.06E-05,0.006162178
2000,5,,,,,51.823174,01-05-2000 00:00,0.7091647,-0.26434624,0.7568312,159.5566978,986.3063,900.1138,0.26167893,306.66895,293.29224,45.472534,5.260272,0.000951523,0.0060113
2000,6,,,,,34.495872,01-06-2000 00:00,-1.0954866,-0.14162248,1.104603,7.366236642,984.0062,601.5867,0.6418944,304.24023,298.04102,69.63341,4.039446,0.003973145,0.005965516
2000,7,,,,,21.69111,01-07-2000 00:00,-0.48521286,0.4477672,0.6602477,317.2983638,983.9506,484.33398,0.94201803,302.3877,298.75977,80.84176,3.1281514,0.008451834,0.005887222
2000,8,,,,,21.723492,01-08-2000 00:00,0.16580433,0.04456746,0.17168964,195.0452325,986.15625,462.6057,0.788089,302.55225,298.53442,79.010605,3.4698164,0.005642388,0.005840093
2000,9,,,,,23.509842,01-09-2000 00:00,0.49596226,-0.3556677,0.61030984,144.3546879,990.3081,419.031,0.3803603,301.5808,297.09448,76.68835,4.1575823,0.001709946,0.005831067
2000,10,,,,,76.723495,01-10-2000 00:00,0.14742029,-0.19238484,0.24237299,127.462155,994.0712,461.47412,0.03343993,300.1902,292.22217,61.71643,4.410606,0,0.005585827
2000,11,,,,,95.028885,01-11-2000 00:00,1.0081215,-0.5417848,1.1444823,151.7455192,998.8606,356.2412,0.03513113,294.52637,286.59595,60.570843,3.7458403,0,0.005369932
2000,12,,,,,118.69809,01-12-2000 00:00,1.8584747,-0.7756425,2.0138395,157.3465705,1001.3925,244.86182,0.09103215,288.917,281.97046,63.325523,3.4083166,8.12E-05,0.005296651
2001,1,,,,,109.38222,01-01-2001 00:00,1.6546249,-0.8708915,1.8698224,152.2404756,1000.4331,289.36475,0.12651289,286.9668,280.9358,66.94367,3.6070716,4.09E-05,0.005429834
2001,2,,,,,73.6327,01-02-2001 00:00,1.3682623,-0.95320493,1.6675555,145.1368609,997.6763,371.89062,0.14049393,291.5503,282.74707,56.472397,4.3836384,9.74E-05,0.005617358
