year,month,PM25,PM25_clean,Ozone,PM25_Availability,PM25_WUstl,PM25_WUstl_original,Time,U10,V10,WS,WD,SP,BLH,TCC,T2M,D2M,RH,SSR,TP,O3
1998,1,,,,,106.8936232,87.84828,01-01-1998 00:00,1.5491076,-0.56681263,1.6495486,159.9026169,1002.60565,285.36768,0.3488533,286.81445,282.07764,73.05484,3.4879937,0.000113012,0.005784631
1998,2,,,,,66.03910153,58.185875,01-02-1998 00:00,1.219799,-0.6842183,1.3985937,150.7107538,1000.92377,424.31543,0.3191564,291.14526,284.37207,64.56353,4.0866647,0.00061516,0.00575484
1998,3,,,,,43.93299854,42.13575,01-03-1998 00:00,1.1026754,-0.7309169,1.3229258,146.4612854,997.72437,502.52832,0.34100544,294.46704,286.437,60.164856,4.793721,0.001512535,0.00602369
1998,4,,,,,54.73334619,49.977337,01-04-1998 00:00,-0.44375104,-0.60939366,0.75384057,53.9384718,992.78314,748.56006,0.26773667,302.51538,289.37598,45.035717,5.5249534,0.00029041,0.006103057
1998,5,,,,,54.78740449,50.016586,01-05-1998 00:00,-0.8913002,-0.271078,0.9316112,16.91649356,987.7644,828.6343,0.14554423,306.57642,292.70117,44.063316,5.6100135,0.000794225,0.006031387
1998,6,,,,,20.56582451,25.170025,01-06-1998 00:00,-0.29012537,-0.09562868,0.30547926,18.24281784,984.1763,843.0696,0.5759981,306.92334,295.333,50.81624,4.484231,0.004136093,0.005843468
1998,7,,,,,12.55894481,19.356634,01-07-1998 00:00,0.29913712,0.5026519,0.584929,239.2423666,984.65,481.979,0.8177219,302.67065,299.2776,82.0107,3.0592647,0.012561571,0.005810253
1998,8,,,,,12.72087178,19.474201,01-08-1998 00:00,-0.5384525,0.4822412,0.72283304,318.1521893,987.2562,375.59082,0.9312169,301.83667,299.5669,87.55268,2.7334058,0.012633599,0.005739257
1998,9,,,,,10.6864554,17.997114,01-09-1998 00:00,-1.9026594,-0.11776829,1.9063007,3.541899499,990.83435,468.9397,0.4370398,302.2666,298.79907,81.60053,3.9044557,0.002781602,0.005758714
1998,10,,,,,68.30168831,59.828625,01-10-1998 00:00,0.17252058,-0.59578556,0.6202611,106.1493376,994.5025,441.56274,0.21294719,300.47974,294.58276,70.2144,3.8394907,0.001341837,0.005628191
1998,11,,,,,122.3107676,99.04189,01-11-1998 00:00,1.2402744,-0.9105101,1.5386063,143.7168672,998.82874,354.18408,0.122342646,295.1726,287.05298,59.97995,3.5477498,9.34E-05,0.005251363
1998,12,,,,,121.1496209,98.19884,01-12-1998 00:00,1.8297558,-0.8482935,2.0168312,155.1270789,1002.28687,279.2046,0.13473314,289.08496,283.60742,69.92756,3.4073079,0,0.005208205
1999,1,,,,,94.09023994,78.55239,01-01-1999 00:00,1.1735992,-0.62629306,1.3302549,151.9133198,1001.1181,302.9087,0.23782992,286.96558,282.7964,75.92754,3.4662962,0.000347171,0.005262915
1999,2,,,,,59.01359568,53.08501,01-02-1999 00:00,2.059145,-0.989451,2.284533,154.3349958,1001.2481,333.78345,0.26861024,292.08813,284.71875,62.270824,4.104614,2.93E-05,0.005341347
1999,3,,,,,38.31628783,38.05774,01-03-1999 00:00,2.7858362,-1.0825138,2.9887655,158.7649841,992.7463,605.0332,0.04777108,297.99976,284.2351,42.025448,5.3571024,0,0.005211439
1999,4,,,,,61.25469908,54.712162,01-04-1999 00:00,2.2945518,-0.6973339,2.398175,163.095526,988.91437,811.8845,0.053384304,304.7683,284.2046,28.269459,5.9837866,2.93E-05,0.00567985
1999,5,,,,,57.9318788,52.29963,01-05-1999 00:00,-0.795754,-0.23386896,0.8294089,16.37785358,985.8031,935.1377,0.15760767,306.86646,292.09033,41.733368,5.55514,0.000366382,0.005906075
1999,6,,,,,28.29774638,30.783783,01-06-1999 00:00,-0.47414178,-0.13310635,0.49247104,15.68108363,984.39124,823.91626,0.5116035,305.3767,295.38672,55.619423,4.7380285,0.004836824,0.005949441
1999,7,,,,,13.27129156,19.873833,01-07-1999 00:00,-1.5088472,0.36633116,1.552681,346.3532804,983.16187,547.67456,0.85015124,303.135,298.7622,77.4421,3.6293545,0.006103184,0.005851142
1999,8,,,,,8.171497391,16.17113,01-08-1999 00:00,-0.08154976,-0.13038796,0.15379006,57.97651801,986.4944,420.5249,0.8051837,302.37476,298.9724,81.93005,3.9367423,0.004848335,0.005856894
1999,9,,,,,11.62849585,18.681082,01-09-1999 00:00,-1.7459345,-0.3846631,1.7878067,12.42486861,990.185,421.979,0.6322542,301.27344,298.44604,84.65198,3.53268,0.004465997,0.005791806
1999,10,,,,,65.25391126,57.615788,01-10-1999 00:00,0.6868837,-0.5696002,0.89233047,140.3326847,995.34564,343.10815,0.22300231,298.79346,294.26318,76.05651,3.9997556,0.002109563,0.00576641
1999,11,,,,,113.4778382,92.628746,01-11-1999 00:00,1.9498739,-0.89125955,2.1439104,155.435536,999.7381,335.12524,0.121579885,293.65576,286.34277,62.857185,3.812672,0,0.005688552
1999,12,,,,,101.3204081,83.80185,01-12-1999 00:00,1.286953,-0.77288127,1.5011973,149.0130236,1002.6769,288.25854,0.09380323,288.85522,283.89233,72.32322,3.417301,6.28E-05,0.005638197
2000,1,,,,,98.89460384,82.040596,01-01-2000 00:00,0.99275154,-0.5986181,1.1592667,148.9104923,1000.81,318.05396,0.12952822,287.88818,282.23486,68.872284,3.6170902,0.000131066,0.005583786
