year,month,PM25,PM25_clean,Ozone,PM25_Availability,PM25_WUstl,PM25_WUstl_original,Time,U10,V10,WS,WD,SP,BLH,TCC,T2M,D2M,RH,SSR,TP,O3
1998,1,,,,,32.8798044,50.938095,01-01-1998 00:00,1.0678968,-1.1388454,1.5612087,133.1585273,988.8525,211.05676,0.36945403,284.8042,280.98022,77.37022,3.017656,0.000112168,0.006172679
1998,2,,,,,18.64488446,33.982143,01-02-1998 00:00,0.18854052,-0.38904637,0.43232465,115.8558596,986.875,363.35986,0.364941,288.3313,283.59277,73.31765,3.5111473,0.003286515,0.006393705
1998,3,,,,,8.561275512,21.971033,01-03-1998 00:00,0.19040042,-0.9414908,0.96055055,101.4328947,984.23315,384.19653,0.42826825,291.49146,286.26904,71.57602,4.42751,0.002928266,0.006485086
1998,4,,,,,18.42467493,33.71984,01-04-1998 00:00,-0.16060907,-1.150137,1.1612967,82.0504279,979.5275,513.02246,0.35631782,299.3501,289.84058,55.818146,5.4608335,0.002913805,0.006464191
1998,5,,,,,27.23500966,44.214287,01-05-1998 00:00,-0.19189304,-1.0751686,1.0921586,79.88056265,974.3831,834.14307,0.25833648,305.3208,289.04834,37.564594,6.1380754,0.000921329,0.00624897
1998,6,,,,,9.031008212,22.530556,01-06-1998 00:00,-0.09396571,-0.33506066,0.34798735,74.33417295,970.89374,794.85986,0.2629574,306.02417,293.28052,47.116276,5.7299767,0.002642957,0.006041281
1998,7,,,,,9.453768733,23.034128,01-07-1998 00:00,-0.9924817,1.0227594,1.4251516,314.1392318,970.21436,404.52905,0.55497915,303.1963,299.83545,82.22959,3.980259,0.015197173,0.005909998
1998,8,,,,,6.822927118,19.900396,01-08-1998 00:00,-1.4378481,1.120429,1.8228462,322.0728452,972.72375,424.85205,0.37296057,302.71948,299.41455,82.44518,4.322204,0.003268971,0.005901601
1998,9,,,,,9.649989718,23.267857,01-09-1998 00:00,-0.39945513,0.027568266,0.40040532,356.0520106,977.4125,379.52612,0.26508915,301.521,297.42554,78.501724,4.1462913,0.003926061,0.00582378
1998,10,,,,,32.08192548,49.9877,01-10-1998 00:00,0.14103222,-0.9406345,0.9511484,98.52701528,981.3525,299.64136,0.15504026,297.13696,292.32666,74.48542,3.7890704,0.003673034,0.005582586
1998,11,,,,,62.09088559,85.73293,01-11-1998 00:00,0.3397718,-1.2149534,1.2615691,105.6240901,985.6769,227.73169,0.042368818,291.37378,285.59277,68.982056,3.5153942,0.000104577,0.005344823
1998,12,,,,,67.85661537,92.60079,01-12-1998 00:00,0.8170317,-1.2102938,1.4602574,124.0220618,988.66064,158.54721,0.27334666,285.3562,282.39404,82.1021,2.8715277,1.62E-05,0.005272478
