year,month,PM25,PM25_clean,Ozone,PM25_Availability,PM25_WUstl,Time,U10,V10,WS,WD,SP,BLH,TCC,T2M,D2M,RH,SSR,TP,O3
1998,1,,,,,82.10256,01-01-1998 00:00,0.21298164,-2.769928,2.7781417,94.42258,1011.37085,321.1682,0.19293757,297.4801,291.4494,69.0703,4.921294,0,0.005294019
1998,2,,,,,42.32048,01-02-1998 00:00,0.74421793,-3.0259323,3.1167154,103.91343,1011.82983,416.04004,0.21355608,297.49054,290.59177,65.39847,5.53194,6.44E-05,0.005361534
1998,3,,,,,39.78447,01-03-1998 00:00,1.5248938,-1.739027,2.3139527,131.36363,1009.34,305.07178,0.072752714,298.70837,293.20435,71.61577,6.4277844,1.13E-05,0.005348652
1998,4,,,,,23.17355,01-04-1998 00:00,2.386345,-1.530509,2.8411205,147.56573,1007.56036,402.81006,0.1689145,301.17612,296.89154,77.56712,6.734659,3.94E-05,0.005697311
1998,5,,,,,21.242662,01-05-1998 00:00,3.203843,0.12446776,3.2091246,182.31024,1004.69666,549.0139,0.24585229,302.88724,298.49606,77.32242,6.4830523,0.000125521,0.005800624
1998,6,,,,,16.993343,01-06-1998 00:00,3.3035297,2.6827745,4.2557306,219.0951,1001.6511,608.3181,0.71565443,301.6824,298.66446,83.74127,4.552693,0.014514841,0.005828068
1998,7,,,,,14.959556,01-07-1998 00:00,4.7860785,2.8674173,5.57963,210.96695,1002.1521,603.28076,0.9039357,300.4103,298.18945,87.68492,3.685203,0.01911395,0.005811184
1998,8,,,,,15.021501,01-08-1998 00:00,3.6277666,1.775279,4.03886,206.06798,1003.64136,496.44336,0.9245436,300.1958,298.00723,87.83589,3.7068949,0.013121031,0.005818925
1998,9,,,,,13.548805,01-09-1998 00:00,2.533865,0.011304267,2.534451,180.31177,1004.45605,493.51953,0.78460765,300.562,297.6499,84.149574,4.066649,0.007370975,0.005790785
1998,10,,,,,19.448805,01-10-1998 00:00,0.6444235,0.2597525,0.6948334,201.90262,1006.33325,459.05353,0.46295226,300.7956,296.8242,78.98802,4.8281097,0.004228441,0.005580012
1998,11,,,,,35.393345,01-11-1998 00:00,-0.5347122,-1.5967045,1.6840286,71.41629,1008.64246,305.22217,0.267785,300.11646,294.2458,70.26367,4.6920285,0.000253547,0.005238882
1998,12,,,,,47.762287,01-12-1998 00:00,-1.0659838,-2.3014135,2.5370178,65.05395,1011.1381,225.10281,0.20473921,298.21094,290.9397,64.02876,4.606076,3.10E-06,0.005129572
1999,1,,,,,65.241295,01-01-1999 00:00,0.16911,-3.117444,3.1220336,93.114395,1010.22107,307.11328,0.10840237,296.6704,289.8377,65.49843,4.9971457,2.78E-05,0.005003858
1999,2,,,,,54.658363,01-02-1999 00:00,0.6821333,-2.9525661,3.0303535,103.02182,1010.3822,237.06346,0.09671593,298.49597,292.85132,70.96381,5.4575243,2.11E-06,0.005012047
