year,month,PM25,PM25_clean,Ozone,PM25_Availability,PM25_WUstl,Time,U10,V10,WS,WD,SP,BLH,TCC,T2M,D2M,RH,SSR,TP,O3
1998,1,,,,,95.48528,01-01-1998 00:00,1.6112728,-0.11474937,1.6153536,175.9264668,1010.1956,321.56274,0.3226387,288.0498,283.5708,74.548874,3.646137,0.000358418,0.005735882
1998,2,,,,,65.43988,01-02-1998 00:00,1.9663448,-0.1544233,1.9723992,175.509597,1008.3269,449.7024,0.26326632,292.74805,285.76318,64.017784,4.1314216,0.000880575,0.005661272
1998,3,,,,,40.153076,01-03-1998 00:00,1.6000452,-0.03437264,1.6004143,178.7693446,1005.2419,566.8186,0.28962195,295.7827,287.02417,57.684647,4.963178,0.001577533,0.00596419
1998,4,,,,,49.182434,01-04-1998 00:00,-1.2757454,-0.33210403,1.3182638,14.59147214,1000.70435,810.02,0.22361904,303.09106,291.5381,49.950157,5.5656624,0.000721397,0.006075114
1998,5,,,,,33.784634,01-05-1998 00:00,-2.4182062,-0.20061058,2.426513,4.742308487,995.97375,866.91406,0.27190268,306.3457,295.62622,53.43489,5.4634833,0.001467408,0.005996574
1998,6,,,,,20.207314,01-06-1998 00:00,-1.645237,-0.06850153,1.6466625,2.384205495,991.96625,877.13257,0.58166915,307.12622,297.01978,55.647522,4.6858153,0.004639916,0.005820878
1998,7,,,,,19.438776,01-07-1998 00:00,-0.7998376,0.6646673,1.0399629,320.2733224,992.7775,514.61035,0.90603936,302.91064,299.4319,81.62499,3.4569561,0.008978833,0.005787805
1998,8,,,,,17.647429,01-08-1998 00:00,-1.1099854,0.42850536,1.1898253,338.8911199,995.35315,402.7859,0.94680524,302.63843,299.75073,84.492584,3.3167517,0.009732589,0.005722784
1998,9,,,,,19.913563,01-09-1998 00:00,-2.3172827,0.16709006,2.323299,355.8757665,998.6669,433.8313,0.6650542,301.94434,298.84766,83.37934,3.404933,0.005040158,0.005713601
1998,10,,,,,43.987,01-10-1998 00:00,-0.49619025,-0.108851194,0.5079895,12.37319769,1001.9412,325.1775,0.3912384,300.7505,297.51196,82.54017,3.4000027,0.002930767,0.005583428
1998,11,,,,,79.12253,01-11-1998 00:00,0.9717802,-0.19690269,0.9915278,168.5457657,1006.1025,280.3203,0.2596088,296.08618,291.667,76.157425,3.3721905,0.001010046,0.005230792
1998,12,,,,,115.3663,01-12-1998 00:00,1.970583,0.010320239,1.97061,180.3000639,1009.6763,279.83423,0.06281525,290.29297,285.50122,73.40567,3.6026702,3.63E-07,0.005237218
1999,1,,,,,115.484505,01-01-1999 00:00,1.8416033,-0.28084207,1.8628942,171.3292726,1008.495,311.40015,0.116574705,288.52246,283.708,72.98137,3.835211,8.32E-05,0.005166642
1999,2,,,,,71.00763,01-02-1999 00:00,2.5460424,-0.38143492,2.5744562,171.4796106,1008.24,378.04907,0.19489491,293.78418,286.73315,63.96873,4.4570365,1.89E-05,0.00523191
1999,3,,,,,45.282253,01-03-1999 00:00,2.7850847,-0.2585159,2.797057,174.696912,999.6219,660.6743,0.012587819,299.25317,284.18774,38.884197,5.5585256,0,0.005239155
1999,4,,,,,53.577156,01-04-1999 00:00,0.28656703,-0.26066762,0.38738647,137.709661,996.2463,835.8076,0.04175543,305.20825,287.71558,34.701195,6.077281,0.000149691,0.005677346
1999,5,,,,,39.23172,01-05-1999 00:00,-2.739935,-0.11980939,2.742553,2.503782899,994.17,716.5349,0.289205,304.49,296.30103,61.830444,5.4316587,0.002769586,0.005909376
1999,6,,,,,24.853104,01-06-1999 00:00,-1.4413052,0.10135853,1.4448647,355.9773467,992.3063,708.44727,0.6851032,304.1609,296.63745,64.29595,3.948803,0.012536589,0.005812872
1999,7,,,,,24.273504,01-07-1999 00:00,-1.6758862,0.5246451,1.7560886,342.6169928,991.5119,486.6128,0.9064706,302.39722,299.18896,82.88069,3.236595,0.012215056,0.005803518
1999,8,,,,,17.007124,01-08-1999 00:00,-1.4552002,0.24756521,1.4761084,350.3450217,994.1312,468.5642,0.9028108,302.0254,299.12134,84.34628,3.3492994,0.008660864,0.00583351
1999,9,,,,,16.919647,01-09-1999 00:00,-3.1492538,-0.36843365,3.1707323,6.67274515,997.52185,523.8635,0.7164953,301.51123,298.49487,83.73026,3.4553595,0.00414791,0.005796183
1999,10,,,,,38.922134,01-10-1999 00:00,0.08257365,-0.52994525,0.5363398,98.8563524,1002.6206,354.56445,0.4145953,299.40088,296.15527,82.34513,3.7364855,0.003047969,0.005709365
1999,11,,,,,76.983154,01-11-1999 00:00,1.5780859,0.21133214,1.5921735,187.6274846,1007.10065,339.3916,0.14012915,294.78076,288.65796,68.13835,3.857319,8.89E-05,0.005632743
1999,12,,,,,97.62472,01-12-1999 00:00,1.5403728,-0.34971744,1.579573,167.2087257,1009.9975,342.22095,0.061876323,291.0598,285.4021,69.48131,3.5000916,3.31E-05,0.005633298
2000,1,,,,,96.4158,01-01-2000 00:00,1.2279749,-0.2727176,1.2578939,167.4785607,1008.3906,348.1897,0.08885169,289.261,283.4768,68.54541,3.7993104,3.97E-05,0.005542114
2000,2,,,,,68.47131,01-02-2000 00:00,0.68303674,-0.3569755,0.770695,152.4070814,1006.5656,474.51855,0.16723359,291.11963,283.2517,60.017693,4.1658688,0.000571622,0.005850766
2000,3,,,,,54.845966,01-03-2000 00:00,0.9277969,-0.35073996,0.9918798,159.2916395,1002.34314,649.71313,0.09039235,297.7268,284.37305,43.109898,5.358917,0.000549735,0.005845845
2000,4,,,,,49.111145,01-04-2000 00:00,-0.6351763,-0.3499968,0.7252219,28.85577889,996.7919,901.2483,0.14036804,303.95874,288.58154,39.395786,5.766067,0.000317908,0.006192148
2000,5,,,,,34.01322,01-05-2000 00:00,-2.1334972,-0.35192418,2.1623278,9.366695861,994.90314,764.405,0.39122033,304.68945,295.4812,58.164757,5.0843377,0.001864659,0.006061528
2000,6,,,,,39.099865,01-06-2000 00:00,-1.9952049,0.36410952,2.0281563,349.6577704,992.6794,574.7827,0.7452598,303.3811,298.62036,75.71334,4.06632,0.010440942,0.005931485
2000,7,,,,,20.457684,01-07-2000 00:00,-1.934124,-0.04110102,1.9345607,1.217378304,992.2494,517.6189,0.9117137,302.5188,299.06934,81.71888,3.609394,0.00946543,0.005864769
2000,8,,,,,17.02822,01-08-2000 00:00,-0.7512746,0.4387769,0.87002224,329.7132205,994.08624,509.9839,0.88548917,302.9978,298.9331,78.85213,4.099743,0.005439635,0.005816661
2000,9,,,,,33.28377,01-09-2000 00:00,-1.1046419,-0.38255316,1.1690085,19.10169515,997.4925,450.2422,0.67397857,300.82153,297.79565,83.60649,3.1958582,0.005530495,0.005802732
2000,10,,,,,62.146774,01-10-2000 00:00,0.24991459,-0.001858624,0.2499215,179.5738971,1001.84564,384.66504,0.13318509,300.4912,295.43457,73.916016,4.271071,0.000228864,0.00558921
2000,11,,,,,91.86832,01-11-2000 00:00,1.3796453,0.13011956,1.3857678,185.3878439,1006.4281,388.2649,0.034151673,295.38867,288.89478,66.65904,3.8376536,0,0.005352456
2000,12,,,,,121.44071,01-12-2000 00:00,2.1456623,-0.07854974,2.1470997,177.9034167,1008.8244,323.0542,0.02877177,290.04736,283.63818,65.90515,3.625224,0.000198328,0.005338706
2001,1,,,,,125.05215,01-01-2001 00:00,2.2079296,-0.005625293,2.2079368,179.854024,1007.8812,357.07886,0.14257091,288.16528,281.39258,63.905178,3.7152824,0.0001313,0.005375065
2001,2,,,,,87.80166,01-02-2001 00:00,1.6535597,-0.16603893,1.661875,174.2659775,1004.9919,426.54614,0.1277461,292.93433,283.50146,54.4842,4.4612956,4.07E-05,0.005520359
2001,3,,,,,54.335644,01-03-2001 00:00,1.7166576,-0.18633777,1.7267412,173.8049788,1002.9525,660.89136,0.24405414,298.35156,284.33252,41.419296,5.3479643,0.000186289,0.006005678
2001,4,,,,,51.689648,01-04-2001 00:00,0.7436201,-0.33615035,0.81606853,155.6748523,999.43,945.56055,0.19455409,304.04004,287.29858,36.0991,5.7857366,0.00013601,0.006063491
2001,5,,,,,34.097336,01-05-2001 00:00,-2.8549242,-0.5267232,2.9031067,10.45331572,994.655,820.95044,0.3049615,304.40332,295.5786,59.471684,5.10296,0.001828038,0.006192818
2001,6,,,,,38.621643,01-06-2001 00:00,-2.8926983,0.07383257,2.8936403,358.537913,991.5112,637.0967,0.73729855,302.7942,298.29688,76.820175,3.5389936,0.010594919,0.005988341
2001,7,,,,,18.741879,01-07-2001 00:00,-2.1681595,0.33132982,2.1933296,351.311496,992.2381,550.0325,0.853627,302.9624,299.22705,80.4017,3.694507,0.007214036,0.005886812
2001,8,,,,,16.958012,01-08-2001 00:00,-1.7999725,0.027969696,1.8001899,359.109755,994.53064,480.99707,0.8954175,303.01733,299.52295,81.562706,3.8145761,0.006256189,0.005874176
2001,9,,,,,36.671112,01-09-2001 00:00,-1.2678585,-0.080925226,1.2704386,3.652136707,998.33374,356.73242,0.62250465,301.83984,298.86694,83.98276,3.445611,0.007664841,0.005853899
2001,10,,,,,65.734726,01-10-2001 00:00,-0.016942143,0.07255918,0.07451088,283.1427603,1002.82935,348.1902,0.35857922,300.1897,296.35132,79.54161,3.5763063,0.003573997,0.005647302
2001,11,,,,,109.921265,01-11-2001 00:00,1.0890436,-0.46451694,1.183973,156.8999791,1007.7975,347.91772,0.10048431,295.739,290.21143,70.96157,3.8471906,8.36E-06,0.005359605
2001,12,,,,,132.76663,01-12-2001 00:00,1.5910282,-0.19449186,1.6028718,173.0305774,1011.28314,291.46533,0.13658988,289.6006,284.85913,73.52751,3.5737934,0,0.005228754
2002,1,,,,,120.91872,01-01-2002 00:00,0.5956889,-0.49128622,0.7721447,140.4863613,1009.3713,314.58545,0.21971333,289.6504,285.03418,74.14664,3.4347355,0.000730969,0.005193811
2002,2,,,,,82.34409,01-02-2002 00:00,1.5531893,0.047741845,1.5539229,181.7606001,1009.3325,378.87158,0.20383513,292.94482,286.7307,67.36766,4.2799287,0.000818321,0.005381703
2002,3,,,,,56.651913,01-03-2002 00:00,0.7740316,-0.062404305,0.7765431,175.3906448,1003.1525,624.32935,0.18376875,298.9026,287.18262,48.324726,5.3176084,0.000259761,0.005816449
2002,4,,,,,57.275185,01-04-2002 00:00,-1.9443932,-0.4145617,1.9880961,12.03574912,998.68,873.2329,0.2383399,303.57812,291.43384,48.25526,5.670209,0.001017204,0.005805325
2002,5,,,,,40.90849,01-05-2002 00:00,-3.3052883,-0.4366414,3.3340046,7.525419933,994.48,757.8064,0.2976808,303.8401,295.88794,62.581314,5.068096,0.001612007,0.006039932
2002,6,,,,,38.950768,01-06-2002 00:00,-2.7489424,-0.35350245,2.7715786,7.327780502,993.0419,614.61206,0.634505,304.1172,298.49414,72.0449,4.0856476,0.004487582,0.005984776
2002,7,,,,,38.375854,01-07-2002 00:00,0.46660507,0.612409,0.76991236,232.6955937,991.76624,516.89185,0.8808041,304.00952,298.69482,73.36,4.056393,0.009632308,0.005788539
2002,8,,,,,18.557411,01-08-2002 00:00,-2.8649168,0.19773686,2.8717327,356.0517009,994.22687,539.77734,0.90043503,302.5166,299.10327,81.89382,3.6919737,0.007905524,0.0058394
2002,9,,,,,20.401615,01-09-2002 00:00,-1.5284452,-0.08978027,1.5310798,3.36166875,999.085,447.9734,0.6169694,301.54736,298.3994,83.0807,3.5696456,0.006726839,0.005755216
2002,10,,,,,59.175186,01-10-2002 00:00,0.06803608,0.14754105,0.16247235,245.244003,1004.0444,352.80078,0.23279518,299.38354,295.18677,77.71586,4.0593004,0.002090232,0.005705118
2002,11,,,,,85.911705,01-11-2002 00:00,1.3771353,-0.07163733,1.3789973,177.0222094,1007.04315,344.50073,0.1787315,295.1521,289.78735,71.590645,3.7659605,4.80E-05,0.005490303
2002,12,,,,,117.76507,01-12-2002 00:00,1.4926348,-0.036891934,1.4930907,178.5841668,1009.035,305.02734,0.12729865,290.31787,284.94702,70.6627,3.4646106,0.000506589,0.005303603
