year,month,PM25,PM25_clean,Ozone,PM25_Availability,PM25_WUstl,PM25_WUstl_original,Time,U10,V10,WS,WD,SP,BLH,TCC,T2M,D2M,RH,SSR,TP,O3
1998,1,,,,,38.49308741,34.92093,01-01-1998 00:00,-0.37610695,-0.108764514,0.45221907,125.32458,949.6582,535.70197,0.19535835,295.127,286.20718,57.165245,4.6036134,2.37E-06,0.005232414
1998,2,,,,,31.87292134,29.91717,01-02-1998 00:00,0.3659008,-0.66695815,0.7970192,119.32556,949.77,677.4574,0.21952441,295.98267,283.83096,46.617134,5.15792,2.05E-05,0.005295596
1998,3,,,,,22.86796949,23.110903,01-03-1998 00:00,0.8470632,-0.7230805,1.159857,141.12549,947.6797,781.389,0.09447285,299.84213,285.38394,41.43161,5.9069657,6.78E-06,0.005296093
1998,4,,,,,14.03583158,16.435255,01-04-1998 00:00,1.8492873,-1.1427866,2.205452,149.56133,946.1256,968.0578,0.1593574,303.27237,288.468,41.98095,6.157222,7.05E-05,0.005649841
1998,5,,,,,14.82976701,17.03534,01-05-1998 00:00,2.4759076,-0.6427517,2.5942783,166.86282,943.6706,933.42413,0.29317737,303.8587,292.20026,50.88019,5.849757,0.000442553,0.00574242
1998,6,,,,,16.0469715,17.955347,01-06-1998 00:00,3.1890848,0.6750298,3.3175728,194.62852,941.0273,768.69464,0.7217825,300.5166,294.9004,71.91683,4.3421583,0.008251716,0.005787607
1998,7,,,,,14.15592244,16.526024,01-07-1998 00:00,3.7706685,1.0060184,3.9471061,196.5901,941.41516,684.3001,0.93273586,298.4238,295.3493,83.30825,3.1957374,0.010710529,0.00577213
1998,8,,,,,9.741980932,13.189808,01-08-1998 00:00,2.8575892,0.64647686,2.964827,194.45181,942.7889,556.61127,0.9593725,297.94452,295.41705,85.949585,3.1928742,0.008724992,0.005787827
1998,9,,,,,10.85429627,14.030536,01-09-1998 00:00,1.9114989,-0.14778031,1.9556938,178.87332,943.4853,501.21515,0.8477473,297.82266,295.12592,85.01301,3.3916264,0.006947776,0.005757719
1998,10,,,,,13.21360297,15.813785,01-10-1998 00:00,0.11047248,-0.16761716,0.35885358,167.55063,945.6164,479.56094,0.55479676,297.76962,293.72607,78.23728,4.1785417,0.003513018,0.00554419
1998,11,,,,,15.13598687,17.266792,01-11-1998 00:00,-1.3295771,-0.47519127,1.423336,19.416714,947.8032,486.21948,0.34838915,296.2675,289.30435,64.96502,4.1588073,0.000735314,0.005185984
