year,month,PM25,PM25_clean,Ozone,PM25_Availability,PM25_WUstl,PM25_WUstl_original,Time,U10,V10,WS,WD,SP,BLH,TCC,T2M,D2M,RH,SSR,TP,O3
1998,1,,,,,44.900038,45.274338,01-01-1998 00:00,-0.26253045,-3.3328114,3.3431354,85.49602755,1013.5275,302.92603,0.21345562,295.97778,287.75293,59.760902,4.632619,0,0.005392756
1998,2,,,,,35.06412258,40.953968,01-02-1998 00:00,0.8566348,-1.5473032,1.7686069,118.9702669,1013.7488,362.67798,0.25064862,296.54028,287.6338,57.31737,5.33676,5.07E-05,0.005437713
1998,3,,,,,30.44520117,38.925133,01-03-1998 00:00,1.5442219,-0.4340917,1.6040751,164.2989515,1010.72,300.13452,0.06124161,298.937,290.4099,59.304012,6.2146826,1.91E-06,0.005423609
1998,4,,,,,8.679829313,29.364817,01-04-1998 00:00,2.685256,2.0937767,3.40507,217.9446385,1008.23315,330.8169,0.23204327,301.99707,295.79004,69.1801,6.579719,2.68E-06,0.00575909
1998,5,,,,,-9.374869648,21.434393,01-05-1998 00:00,3.6938639,3.4245853,5.0371037,222.8336335,1005.0469,480.71582,0.15680712,303.91284,297.99512,70.75388,6.722517,1.51E-05,0.005856179
1998,6,,,,,-13.61917266,19.570107,01-06-1998 00:00,3.9132528,4.472541,5.942825,228.8156741,1001.4981,661.64746,0.53833544,302.97607,299.15967,80.01847,5.221079,0.00567488,0.005863525
1998,7,,,,,-2.3474117,24.521164,01-07-1998 00:00,5.0349627,4.0256815,6.446469,218.6439245,1001.66626,648.593,0.86920923,301.36353,298.8601,86.30749,4.0473967,0.01397102,0.005834736
1998,8,,,,,-8.767772443,21.701057,01-08-1998 00:00,4.281067,2.5410385,4.9783945,210.6913609,1003.575,567.7229,0.84371185,301.1787,298.6057,85.933815,3.8958158,0.01027301,0.005814936
1998,9,,,,,-8.347976464,21.88545,01-09-1998 00:00,3.1259203,1.1800461,3.3412402,200.6817009,1004.8719,500.7146,0.65074635,301.54663,298.23462,82.27209,4.4626064,0.00599917,0.005791213
1998,10,,,,,-3.923593715,23.828835,01-10-1998 00:00,0.43327963,0.12220383,0.4501833,195.7507757,1007.65436,434.54688,0.38987416,301.37793,296.5901,75.27623,4.614366,0.00306207,0.005580489
1998,11,,,,,47.00140836,46.197353,01-11-1998 00:00,-1.2263145,-2.4834852,2.7697556,63.72040501,1010.7488,344.8286,0.17486131,299.51733,291.646,61.94001,4.5534787,3.18E-05,0.00524519
1998,12,,,,,44.54047046,45.1164,01-12-1998 00:00,-2.0582323,-2.7422495,3.428739,53.10944569,1013.67377,270.14795,0.21672344,296.7727,287.31445,55.362732,4.36636,0,0.005119134
