year,month,PM25,PM25_clean,Ozone,PM25_Availability,PM25_WUstl,PM25_WUstl_original,Time,U10,V10,WS,WD,SP,BLH,TCC,T2M,D2M,RH,SSR,TP,O3
1998,1,,,,,57.92641746,64.05151,01-01-1998 00:00,1.226285,-0.016578108,1.226397,179.2254673,1006.6731,296.011,0.33645672,287.98706,283.2058,73.0473,3.6113608,0.000401605,0.005700231
1998,2,,,,,35.59992846,49.357418,01-02-1998 00:00,1.0521975,-0.22981596,1.0770026,167.6792184,1004.90186,425.36768,0.30715358,292.72412,285.24097,61.94974,4.17499,0.000517447,0.005624
1998,3,,,,,4.922055353,29.166895,01-03-1998 00:00,1.1599483,-0.12008029,1.1661474,174.0896737,1001.715,587.76465,0.26622415,296.22144,285.88892,52.16006,4.967458,0.001354926,0.005888742
1998,4,,,,,6.368112662,30.118612,01-04-1998 00:00,-0.25761074,-0.35565573,0.4391518,54.08320384,996.58374,874.4927,0.19852495,304.0979,289.2229,40.721783,5.586959,0.000171534,0.006013267
1998,5,,,,,12.01219065,33.83324,01-05-1998 00:00,-0.81194955,-0.327309,0.87543887,21.95510108,991.61,852.15894,0.14256841,307.36523,293.1682,43.40114,5.609379,0.000605883,0.005988464
1998,6,,,,,-13.10111721,17.305014,01-06-1998 00:00,0.1604619,-0.13209164,0.20783702,140.5389155,988.03125,860.0205,0.5582769,307.48706,295.30713,49.163593,4.5702734,0.004239578,0.005826008
1998,7,,,,,-13.59680805,16.978777,01-07-1998 00:00,0.6699939,0.7517622,1.0069946,228.2915809,988.91064,521.93335,0.89195424,303.06104,299.0359,79.04603,3.4348147,0.007095721,0.005793076
1998,8,,,,,-9.959175086,19.372871,01-08-1998 00:00,0.29748636,0.48352134,0.5677068,238.3981045,991.41626,389.36108,0.94733745,302.39893,299.59546,84.88869,3.078325,0.00740521,0.005731471
1998,9,,,,,-3.005954676,23.949106,01-09-1998 00:00,-1.747529,-0.2897228,1.7713828,9.41344232,994.4575,414.6062,0.62625825,301.896,299.094,84.844376,3.4609506,0.005494818,0.005734362
1998,10,,,,,14.14136374,35.234547,01-10-1998 00:00,-0.25632262,-0.18465865,0.31591153,35.76954165,998.28687,341.66138,0.29575425,300.75928,296.64038,78.28324,3.6326234,0.00161938,0.005587794
1998,11,,,,,72.13288285,73.40144,01-11-1998 00:00,0.6383165,0.2097997,0.67191064,198.1944847,1002.6906,298.26294,0.2557165,295.44458,290.09375,71.70709,3.3196692,0.000693271,0.005236588
1998,12,,,,,87.76422939,83.68915,01-12-1998 00:00,1.6513662,0.16780108,1.6598698,185.8021092,1006.3025,283.80908,0.07256013,290.23804,284.42285,68.60052,3.61294,0,0.005211949
1999,1,,,,,72.88539963,73.896706,01-01-1999 00:00,1.0504332,-0.114816904,1.0566895,173.7620863,1005.10376,306.3147,0.13982427,288.0315,283.0271,71.9718,3.7765312,0.000140807,0.005157936
1999,2,,,,,47.32314284,57.073006,01-02-1999 00:00,1.7130404,-0.2317251,1.7286422,172.2962899,1005.1306,330.9834,0.22136062,293.29346,286.81274,66.2804,4.1896477,0.000301667,0.00523258
1999,3,,,,,-0.457374715,25.626444,,,,,,,,,,,,,,
1999,4,,,,,6.823418852,30.41827,,,,,,,,,,,,,,
1999,5,,,,,17.87500122,37.691826,,,,,,,,,,,,,,
1999,6,,,,,-12.05818619,17.991415,,,,,,,,,,,,,,
1999,7,,,,,-9.194352521,19.876236,,,,,,,,,,,,,,
1999,8,,,,,-8.144324291,20.567308,,,,,,,,,,,,,,
1999,9,,,,,-0.862488403,25.35982,,,,,,,,,,,,,,
1999,10,,,,,14.4520288,35.43901,,,,,,,,,,,,,,
1999,11,,,,,69.58787048,71.72645,,,,,,,,,,,,,,
1999,12,,,,,78.05831477,77.30124,,,,,,,,,,,,,,
2000,1,,,,,54.14748913,61.564423,01-01-2000 00:00,0.93931276,-0.011357151,0.9393814,179.3072753,1004.8663,322.86035,0.086073935,289.0393,282.61328,65.614426,3.8294919,2.53E-05,0.005496465
2000,2,,,,,39.71196063,52.063736,01-02-2000 00:00,0.4685548,-0.50960726,0.6922739,132.5967651,1002.84814,444.31445,0.13257807,291.21558,282.71826,57.560688,4.2703114,0.000208147,0.005825799
2000,3,,,,,13.26769605,34.659546,01-03-2000 00:00,0.65671057,-0.27205026,0.71083057,157.497629,998.7775,658.2883,0.06477797,297.8838,283.41748,40.07506,5.3815656,0.000158167,0.005823221
2000,4,,,,,5.468879214,29.526785,01-04-2000 00:00,0.39388865,-0.39819103,0.56009316,134.6887864,992.8631,880.05273,0.08480048,304.79517,286.33496,32.47726,5.861329,0.00020902,0.006171286
2000,5,,,,,15.0496742,35.832348,01-05-2000 00:00,0.12875175,-0.19577873,0.23432098,123.3304855,990.6225,911.72217,0.30809367,306.67773,293.54907,46.177776,5.2987294,0.000964942,0.006040078
2000,6,,,,,2.893379699,27.83173,01-06-2000 00:00,-0.584502,0.23724777,0.6308162,337.9079003,988.41315,585.4331,0.7087788,304.03687,297.98584,70.215,4.0661325,0.006158754,0.005930957
2000,7,,,,,-10.95691857,18.71621,01-07-2000 00:00,-0.22860366,0.3146621,0.38893685,305.9986013,988.35065,475.9619,0.9268986,302.46704,298.77954,80.56627,3.1983583,0.007968333,0.005875241
2000,8,,,,,-9.927242967,19.393887,01-08-2000 00:00,0.03648034,0.28467065,0.2869986,262.6973882,990.2919,519.04297,0.8329111,302.65942,298.53516,78.52649,3.788736,0.004668292,0.005832851
2000,9,,,,,5.290952159,29.409683,01-09-2000 00:00,0.5500671,-0.5445854,0.77404594,135.2869192,994.04315,407.7942,0.60877305,300.6819,297.46094,82.61917,3.1963334,0.008187532,0.005808733
2000,10,,,,,36.36569458,49.861404,01-10-2000 00:00,0.21448791,0.29611236,0.36563313,234.0824435,998.2431,393.59277,0.10389507,300.35645,294.1045,68.677246,4.3952026,3.99E-05,0.005590629
2000,11,,,,,72.92568552,73.92322,01-11-2000 00:00,1.1473007,0.18247837,1.1617217,189.0372059,1002.975,363.95215,0.039431043,295.16724,288.011,63.83618,3.81808,5.15E-07,0.005350132
2000,12,,,,,89.31370294,84.70893,01-12-2000 00:00,1.9571581,0.16736734,1.9643012,184.8877854,1005.5144,289.38306,0.053042654,289.74634,282.5515,62.461525,3.6204214,0.000116127,0.005310755
2001,1,,,,,85.01152758,81.87747,01-01-2001 00:00,1.7369385,-0.023331929,1.7370952,179.2304041,1004.5025,325.2412,0.13922781,288.20947,280.72925,60.910267,3.7334716,6.15E-05,0.00535614
2001,2,,,,,44.46526378,55.192104,01-02-2001 00:00,1.4161615,-0.23204327,1.4350461,170.6945657,1001.66187,393.22925,0.13925594,292.68726,282.72217,52.513367,4.431856,0.000141317,0.005509626
2001,3,,,,,17.69613212,37.574104,01-03-2001 00:00,0.9335204,-0.14701349,0.94502556,171.050398,999.51373,642.9995,0.2517817,298.2417,284.20728,41.346367,5.2134767,0.000315411,0.005978067
