year,month,PM25,PM25_clean,Ozone,PM25_Availability,PM25_WUstl,PM25_WUstl_original,Time,U10,V10,WS,WD,SP,BLH,TCC,T2M,D2M,RH,SSR,TP,O3
1998,1,,,,,29.15685843,23.827118,01-01-1998 00:00,-1.1091394,0.22325921,1.1339791,348.07004,1010.23315,512.448,0.4044513,297.44562,293.5094,78.69812,4.042941,0.001436015,0.005206841
1998,2,,,,,26.385937,22.277967,01-02-1998 00:00,0.19286722,1.1347508,1.1574281,259.07745,1009.448,493.12476,0.37493294,298.37656,294.34213,78.35077,4.5872474,0.002187546,0.005270497
1998,3,,,,,14.08764889,15.40231,01-03-1998 00:00,1.030293,2.685195,2.8767633,248.73666,1007.1259,556.3834,0.27736402,300.68774,296.18402,76.478035,5.4165244,0.000769709,0.005300915
1998,4,,,,,3.28148799,9.360863,01-04-1998 00:00,2.5268927,3.9432535,4.68391,237.3285,1004.5404,563.27686,0.3235625,302.22882,297.81046,77.22406,6.0253468,0.000373062,0.005684496
1998,5,,,,,5.532070724,10.619106,01-05-1998 00:00,1.9128628,3.5800571,4.0596676,241.73119,999.53076,542.198,0.39773023,304.21854,299.10098,74.491104,6.233773,0.000285276,0.005779816
1998,6,,,,,13.36033234,14.995686,01-06-1998 00:00,3.1757412,3.6129932,4.8119364,228.70084,996.2867,554.2444,0.7796058,303.71942,299.4986,78.31596,4.539659,0.004084742,0.005770251
1998,7,,,,,5.569276869,10.639907,01-07-1998 00:00,3.796671,3.281704,5.024123,221.37918,997.5521,588.5642,0.85343736,302.11014,298.61432,81.44624,4.0428686,0.005740129,0.005771173
1998,8,,,,,8.236850678,12.131279,01-08-1998 00:00,3.0318642,2.7518787,4.0970564,222.58633,999.49493,510.7378,0.95785415,301.62885,298.5155,83.261475,3.6013167,0.006216619,0.005797315
1998,9,,,,,5.531797057,10.618953,01-09-1998 00:00,0.9822056,1.3937759,1.7068764,235.07399,1000.17523,493.59668,0.8727473,301.29724,298.33807,83.99258,3.9807758,0.008430086,0.005752946
1998,10,,,,,8.121923202,12.067026,01-10-1998 00:00,-1.0620003,-0.7083027,1.2904176,34.700706,1002.6325,493.56714,0.6386529,300.71857,297.28842,81.59309,3.8675146,0.008509744,0.00553098
1998,11,,,,,19.4511845,18.400925,01-11-1998 00:00,-1.5048027,-1.8807793,2.4125597,52.22453,1005.6577,504.32788,0.41891807,299.29596,295.00513,77.259636,4.10471,0.0052719,0.005134255
1998,12,,,,,38.73741303,29.18336,01-12-1998 00:00,-2.0866814,-1.882474,2.8146055,43.12978,1009.9932,496.88037,0.16581452,296.3858,289.847,66.67515,4.637362,1.22E-06,0.005091338
1999,1,,,,,43.8851455,32.061325,01-01-1999 00:00,-1.7205706,-0.8541517,1.9210587,26.564007,1008.58,468.69385,0.28181183,296.10745,290.57047,70.99184,4.667915,7.32E-05,0.004996659
1999,2,,,,,55.11242751,38.33821,01-02-1999 00:00,-1.2433596,0.07961054,1.2484593,355.64,1009.17236,407.41553,0.14887464,298.522,292.6679,70.2079,5.40684,6.96E-05,0.004960807
1999,3,,,,,29.45396026,23.99322,01-03-1999 00:00,2.1610413,3.4676666,4.089072,238.59442,1002.579,473.91626,0.13195777,301.03595,296.22437,75.27042,5.8985023,2.89E-05,0.005306385
1999,4,,,,,15.88734523,16.408474,01-04-1999 00:00,1.8678322,3.9676247,4.385956,244.92172,1000.7035,547.02124,0.2509002,302.67816,298.3003,77.48598,6.276675,2.53E-05,0.005584491
1999,5,,,,,11.2064863,13.791526,01-05-1999 00:00,2.9930906,3.9070415,4.923355,232.52104,998.07904,560.1367,0.56925094,303.32532,298.7636,76.757034,5.6660843,0.000683271,0.005849287
1999,6,,,,,12.77605045,14.669029,01-06-1999 00:00,3.863758,3.3893957,5.143048,221.12442,996.5875,609.7029,0.7864064,303.0288,297.83658,73.84635,4.760148,0.006303702,0.00583106
1999,7,,,,,0.333901316,7.712943,01-07-1999 00:00,4.161893,3.164568,5.232419,217.3358,996.2786,613.84033,0.88767797,301.85672,297.64493,78.05192,4.5443053,0.001883885,0.005838317
1999,8,,,,,7.968136849,11.981048,01-08-1999 00:00,3.719736,2.618144,4.554521,215.6495,997.9302,519.1299,0.9069862,301.1584,297.82593,82.131035,3.9382968,0.003492855,0.005887632
1999,9,,,,,6.042213995,10.904314,01-09-1999 00:00,2.7015371,2.2042503,3.4886189,219.42802,999.676,534.7937,0.86656624,301.19662,297.61182,80.89957,4.023384,0.005134128,0.005813324
1999,10,,,,,2.180448318,8.7453,01-10-1999 00:00,-0.7125661,-0.52085835,0.88946015,37.68245,1002.91754,410.8706,0.6830684,300.47113,296.83057,80.53527,4.1996303,0.004674748,0.005642369
1999,11,,,,,25.90776264,22.010632,01-11-1999 00:00,-2.09478,-1.7486286,2.7340941,40.876453,1007.76636,487.95142,0.2854979,298.37445,292.88123,71.597626,4.583552,0.001279112,0.005481493
1999,12,,,,,24.81995377,21.402466,01-12-1999 00:00,-2.7918034,-2.0152102,3.4456246,36.521187,1009.8693,607.8513,0.19194269,296.55646,290.35516,68.153854,4.3570347,0.000155745,0.00533567
2000,1,,,,,27.69973908,23.01248,01-01-2000 00:00,-1.463151,-0.12398249,1.4690691,4.3098803,1008.93115,472.68896,0.13028276,296.57236,291.58453,73.579285,4.6497135,0.00014487,0.005278417
2000,2,,,,,35.62942729,27.445765,01-02-2000 00:00,-0.71502495,0.7573919,1.0478194,311.8771,1007.0412,535.218,0.52055085,297.96362,293.77444,77.54327,4.076974,0.002723097,0.005424827
