CatBoost,Decision Tree,ElasticNet,ExtraTreeRegressor,HistGradientBoosting,KNN,Lasso Regression,LightGBM,Random Forest,Ridge Regression,SVR,XGBoost
7.43,9.68,8.48,8.17,8.37,8.24,8.75,8.81,7.44,113.22,13.22,8.57
10.14,14.0,57.97,11.22,10.42,18.51,16.69,10.65,10.74,66.89,17.89,9.17
5.63,5.91,4.44,6.22,4.93,6.75,4.74,5.12,4.76,8.44,9.79,5.75
15.67,15.54,39.03,15.6,15.63,17.34,21.93,15.69,15.01,76.98,20.8,14.65
26.64,19.93,59.07,24.92,24.18,32.88,34.16,24.31,25.8,61.4,34.01,26.39
6.12,6.75,8.38,7.17,5.28,10.62,9.14,4.41,5.66,18.4,10.24,3.8
13.23,20.39,87.15,39.89,24.9,31.26,17.12,21.24,11.04,95.9,21.42,10.28
23.79,45.05,1158.81,23.8,26.19,50.0,1174.7,23.27,29.14,1311.9,49.46,31.91
3.44,6.6,268.51,6.28,3.42,13.03,5.6,3.76,5.1,212.67,7.89,4.42
8.62,11.48,2769.56,6.88,9.38,15.55,22.16,9.47,13.94,3681.19,14.29,6.84
14.23,15.61,42.4,12.27,14.13,20.58,15.14,14.29,14.52,80.86,21.63,13.76
17.73,19.35,120.73,24.21,17.76,20.93,219.54,17.32,15.77,283.63,16.42,15.79
8.65,11.74,329.47,9.35,8.73,20.89,214.45,8.69,12.06,845.56,21.82,10.6
12.64,16.54,582.19,24.56,10.73,13.94,912.95,11.9,8.56,1420.29,19.73,13.64
13.28,17.81,64.01,14.35,13.15,26.48,24.05,12.18,14.23,40.06,18.27,14.37
10.14,13.03,23.04,14.15,12.95,8.69,16.05,11.94,13.18,212.65,12.21,12.34
16.35,13.67,2105.44,23.56,15.32,36.14,2064.81,14.72,14.28,4699.17,29.75,15.07
7.84,11.56,257.97,10.29,7.08,11.01,140.73,7.38,9.77,681.17,14.72,7.58
3.94,11.42,26.85,14.24,5.67,8.87,37.22,4.37,4.23,109.08,7.67,7.13
30.13,32.03,44.66,32.46,36.44,37.8,35.49,33.79,34.38,57.45,19.54,36.86
6.64,7.51,33.51,13.5,6.45,8.18,38.84,6.77,6.9,103.3,9.31,7.62
23.86,16.56,847.96,48.1,32.45,25.59,1136.23,31.38,28.63,1806.16,11.6,25.3
6.42,14.37,145.6,11.1,7.47,15.69,44.72,6.23,6.6,496.07,14.22,7.78
